"ZIP
code [1]"	Size of adjusted gross income	Number of returns
10033	$1 under $25,000	13870
10033	$25,000 under $50,000	6300
10033	$50,000 under $75,000	3060
10033	$75,000 under $100,000	1520
10033	$100,000 under $200,000	1710
10033	$200,000 or more	540
		
10034		20,370
10034	$1 under $25,000	10150
10034	$25,000 under $50,000	4810
10034	$50,000 under $75,000	2630
10034	$75,000 under $100,000	1270
10034	$100,000 under $200,000	1260
10034	$200,000 or more	250
		
10035		15,110
10035	$1 under $25,000	7610
10035	$25,000 under $50,000	3790
10035	$50,000 under $75,000	1690
10035	$75,000 under $100,000	850
10035	$100,000 under $200,000	890
10035	$200,000 or more	280
		
10036		18,300
10036	$1 under $25,000	4670
10036	$25,000 under $50,000	3140
10036	$50,000 under $75,000	2540
10036	$75,000 under $100,000	1950
10036	$100,000 under $200,000	3370
10036	$200,000 or more	2630
		
10037		11,160
10037	$1 under $25,000	4660
10037	$25,000 under $50,000	2840
10037	$50,000 under $75,000	1800
10037	$75,000 under $100,000	950
10037	$100,000 under $200,000	810
10037	$200,000 or more	100
		
10038		12,370
10038	$1 under $25,000	3630
10038	$25,000 under $50,000	2040
10038	$50,000 under $75,000	1720
10038	$75,000 under $100,000	1150
10038	$100,000 under $200,000	2170
10038	$200,000 or more	1660
		
10039		13,700
10039	$1 under $25,000	7150
10039	$25,000 under $50,000	3460
10039	$50,000 under $75,000	1670
10039	$75,000 under $100,000	710
10039	$100,000 under $200,000	590
10039	$200,000 or more	120
		
10040		21,240
10040	$1 under $25,000	10520
10040	$25,000 under $50,000	5220
10040	$50,000 under $75,000	2740
10040	$75,000 under $100,000	1240
10040	$100,000 under $200,000	1210
10040	$200,000 or more	310
		
10044		4,280
10044	$1 under $25,000	1210
10044	$25,000 under $50,000	780
10044	$50,000 under $75,000	630
10044	$75,000 under $100,000	440
10044	$100,000 under $200,000	820
10044	$200,000 or more	400
		
10065		15,890
10065	$1 under $25,000	2470
10065	$25,000 under $50,000	2120
10065	$50,000 under $75,000	2170
10065	$75,000 under $100,000	1650
10065	$100,000 under $200,000	3170
10065	$200,000 or more	4310
		
10069		2,670
10069	$1 under $25,000	330
10069	$25,000 under $50,000	230
10069	$50,000 under $75,000	220
10069	$75,000 under $100,000	170
10069	$100,000 under $200,000	520
