"ZIP
code [1]"	Size of adjusted gross income	Number of returns
11229	$75,000 under $100,000	3020
11229	$100,000 under $200,000	4170
11229	$200,000 or more	1170
		
11230		34,580
11230	$1 under $25,000	15420
11230	$25,000 under $50,000	7960
11230	$50,000 under $75,000	4350
11230	$75,000 under $100,000	2390
11230	$100,000 under $200,000	3060
11230	$200,000 or more	1400
		
11231		16,810
11231	$1 under $25,000	4660
11231	$25,000 under $50,000	3030
11231	$50,000 under $75,000	2200
11231	$75,000 under $100,000	1620
11231	$100,000 under $200,000	3070
11231	$200,000 or more	2230
		
11232		12,890
11232	$1 under $25,000	6790
11232	$25,000 under $50,000	3110
11232	$50,000 under $75,000	1520
11232	$75,000 under $100,000	690
11232	$100,000 under $200,000	650
11232	$200,000 or more	130
		
11233		30,640
11233	$1 under $25,000	14970
11233	$25,000 under $50,000	8740
11233	$50,000 under $75,000	3830
11233	$75,000 under $100,000	1700
11233	$100,000 under $200,000	1220
11233	$200,000 or more	180
		
11234		41,630
11234	$1 under $25,000	14710
11234	$25,000 under $50,000	9630
11234	$50,000 under $75,000	6130
11234	$75,000 under $100,000	4250
11234	$100,000 under $200,000	5590
11234	$200,000 or more	1320
		
11235		37,550
11235	$1 under $25,000	16760
11235	$25,000 under $50,000	7990
11235	$50,000 under $75,000	4710
11235	$75,000 under $100,000	3050
11235	$100,000 under $200,000	3840
11235	$200,000 or more	1200
		
11236		47,350
11236	$1 under $25,000	20490
11236	$25,000 under $50,000	12980
11236	$50,000 under $75,000	6780
11236	$75,000 under $100,000	3610
11236	$100,000 under $200,000	3190
11236	$200,000 or more	300
		
11237		23,460
11237	$1 under $25,000	11920
11237	$25,000 under $50,000	7060
11237	$50,000 under $75,000	2680
11237	$75,000 under $100,000	970
11237	$100,000 under $200,000	730
11237	$200,000 or more	100
		
11238		29,750
11238	$1 under $25,000	8410
11238	$25,000 under $50,000	6980
11238	$50,000 under $75,000	5390
11238	$75,000 under $100,000	2920
11238	$100,000 under $200,000	4180
11238	$200,000 or more	1870
		
11239		6,820
11239	$1 under $25,000	2820
11239	$25,000 under $50,000	2080
11239	$50,000 under $75,000	1170
11239	$75,000 under $100,000	510
11239	$100,000 under $200,000	240
11239	$200,000 or more	**
		
11354		29,310
11354	$1 under $25,000	17410
11354	$25,000 under $50,000	5400
11354	$50,000 under $75,000	2740
11354	$75,000 under $100,000	1550
11354	$100,000 under $200,000	1810
11354	$200,000 or more	400
		
11355		49,290
11355	$1 under $25,000	33920
11355	$25,000 under $50,000	8040
11355	$50,000 under $75,000	3320
11355	$75,000 under $100,000	1840
11355	$100,000 under $200,000	1810
11355	$200,000 or more	360
		
11356		11,890
11356	$1 under $25,000	5700
11356	$25,000 under $50,000	2780
11356	$50,000 under $75,000	1420
11356	$75,000 under $100,000	830
11356	$100,000 under $200,000	1010
11356	$200,000 or more	150
		
11357		19,530
11357	$1 under $25,000	6170
11357	$25,000 under $50,000	3550
11357	$50,000 under $75,000	2780
11357	$75,000 under $100,000	2190
11357	$100,000 under $200,000	3700
11357	$200,000 or more	1140
		
11358		18,380
11358	$1 under $25,000	7770
11358	$25,000 under $50,000	3670
11358	$50,000 under $75,000	2290
11358	$75,000 under $100,000	1560
11358	$100,000 under $200,000	2430
11358	$200,000 or more	660
		
11360		10,000
11360	$1 under $25,000	2710
11360	$25,000 under $50,000	1580
11360	$50,000 under $75,000	1460
11360	$75,000 under $100,000	1230
11360	$100,000 under $200,000	2210
11360	$200,000 or more	810
		
11361		13,710
11361	$1 under $25,000	4910
11361	$25,000 under $50,000	2770
11361	$50,000 under $75,000	1870
11361	$75,000 under $100,000	1400
11361	$100,000 under $200,000	2100
11361	$200,000 or more	660
		
11362		8,680
11362	$1 under $25,000	2590
11362	$25,000 under $50,000	1560
11362	$50,000 under $75,000	1230
11362	$75,000 under $100,000	1040
11362	$100,000 under $200,000	1720
11362	$200,000 or more	540
		
11363		3,380
11363	$1 under $25,000	940
11363	$25,000 under $50,000	570
11363	$50,000 under $75,000	430
11363	$75,000 under $100,000	340
11363	$100,000 under $200,000	650
11363	$200,000 or more	450
		
11364		17,280
11364	$1 under $25,000	5830
11364	$25,000 under $50,000	3370
11364	$50,000 under $75,000	2600
11364	$75,000 under $100,000	1880
11364	$100,000 under $200,000	2830
11364	$200,000 or more	770
		
11365		20,600
11365	$1 under $25,000	8370
11365	$25,000 under $50,000	4330
11365	$50,000 under $75,000	2770
11365	$75,000 under $100,000	1920
11365	$100,000 under $200,000	2670
11365	$200,000 or more	540
		
11366		6,640
11366	$1 under $25,000	2460
11366	$25,000 under $50,000	1280
11366	$50,000 under $75,000	840
11366	$75,000 under $100,000	640
11366	$100,000 under $200,000	1040
11366	$200,000 or more	380
		
11367		18,370
11367	$1 under $25,000	7630
11367	$25,000 under $50,000	4020
11367	$50,000 under $75,000	2610
11367	$75,000 under $100,000	1590
11367	$100,000 under $200,000	1970
11367	$200,000 or more	550
		
11368		48,220
11368	$1 under $25,000	29250
11368	$25,000 under $50,000	11800
11368	$50,000 under $75,000	4410
11368	$75,000 under $100,000	1670
11368	$100,000 under $200,000	1010
11368	$200,000 or more	80
		
11369		17,570
11369	$1 under $25,000	9210
11369	$25,000 under $50,000	4430
11369	$50,000 under $75,000	2050
11369	$75,000 under $100,000	980
11369	$100,000 under $200,000	820
11369	$200,000 or more	80
		
11370		13,200
11370	$1 under $25,000	6320
11370	$25,000 under $50,000	3040
11370	$50,000 under $75,000	1680
11370	$75,000 under $100,000	940
11370	$100,000 under $200,000	1060
11370	$200,000 or more	160
		
11372		35,270
11372	$1 under $25,000	17340
11372	$25,000 under $50,000	8130
11372	$50,000 under $75,000	4520
11372	$75,000 under $100,000	2310
11372	$100,000 under $200,000	2450
11372	$200,000 or more	520
		
11373		50,550
11373	$1 under $25,000	28720
11373	$25,000 under $50,000	11780
11373	$50,000 under $75,000	5320
11373	$75,000 under $100,000	2400
11373	$100,000 under $200,000	2080
11373	$200,000 or more	250
		
11374		22,640
11374	$1 under $25,000	8140
11374	$25,000 under $50,000	4890
11374	$50,000 under $75,000	3740
11374	$75,000 under $100,000	2380
11374	$100,000 under $200,000	2840
11374	$200,000 or more	650
		
11375		35,360
11375	$1 under $25,000	9270
11375	$25,000 under $50,000	6200
11375	$50,000 under $75,000	5760
11375	$75,000 under $100,000	4330
11375	$100,000 under $200,000	6930
11375	$200,000 or more	2870
		
11377		45,110
11377	$1 under $25,000	22160
11377	$25,000 under $50,000	10830
11377	$50,000 under $75,000	5790
11377	$75,000 under $100,000	3000
11377	$100,000 under $200,000	2910
11377	$200,000 or more	420
		
11378		17,250
11378	$1 under $25,000	6830
11378	$25,000 under $50,000	3900
11378	$50,000 under $75,000	2540
11378	$75,000 under $100,000	1660
11378	$100,000 under $200,000	2000
11378	$200,000 or more	320
		
11379		17,470
11379	$1 under $25,000	5650
11379	$25,000 under $50,000	3570
11379	$50,000 under $75,000	2790
11379	$75,000 under $100,000	1940
11379	$100,000 under $200,000	2930
11379	$200,000 or more	590
		
11385		48,380
11385	$1 under $25,000	21250
11385	$25,000 under $50,000	12490
11385	$50,000 under $75,000	6950
11385	$75,000 under $100,000	3550
11385	$100,000 under $200,000	3740
11385	$200,000 or more	400
		
11411		10,590
11411	$1 under $25,000	3810
11411	$25,000 under $50,000	2730
11411	$50,000 under $75,000	1720
11411	$75,000 under $100,000	1110
11411	$100,000 under $200,000	1120
11411	$200,000 or more	100
		
11412		18,730
11412	$1 under $25,000	7810
11412	$25,000 under $50,000	5240
11412	$50,000 under $75,000	2770
11412	$75,000 under $100,000	1580
11412	$100,000 under $200,000	1240
11412	$200,000 or more	90
		
11413		21,300
11413	$1 under $25,000	8290
11413	$25,000 under $50,000	5640
11413	$50,000 under $75,000	3270
11413	$75,000 under $100,000	2030
11413	$100,000 under $200,000	1890
11413	$200,000 or more	180
		
11414		12,980
11414	$1 under $25,000	3870
11414	$25,000 under $50,000	2720
11414	$50,000 under $75,000	2150
11414	$75,000 under $100,000	1600
11414	$100,000 under $200,000	2190
11414	$200,000 or more	450
		
11415		9,560
11415	$1 under $25,000	3040
11415	$25,000 under $50,000	2140
11415	$50,000 under $75,000	1750
11415	$75,000 under $100,000	1060
11415	$100,000 under $200,000	1290
11415	$200,000 or more	280
		
11416		11,840
11416	$1 under $25,000	6140
11416	$25,000 under $50,000	3170
11416	$50,000 under $75,000	1410
11416	$75,000 under $100,000	620
11416	$100,000 under $200,000	460
11416	$200,000 or more	40
		
11417		14,460
11417	$1 under $25,000	6570
11417	$25,000 under $50,000	3660
11417	$50,000 under $75,000	1910
11417	$75,000 under $100,000	1090
11417	$100,000 under $200,000	1130
11417	$200,000 or more	100
		
11418		17,380
11418	$1 under $25,000	8320
11418	$25,000 under $50,000	4400
11418	$50,000 under $75,000	2210
11418	$75,000 under $100,000	1070
11418	$100,000 under $200,000	1200
11418	$200,000 or more	180
		
11419		22,680
11419	$1 under $25,000	12050
11419	$25,000 under $50,000	6010
11419	$50,000 under $75,000	2500
11419	$75,000 under $100,000	1150
11419	$100,000 under $200,000	890
11419	$200,000 or more	80
		
11420		22,270
11420	$1 under $25,000	10090
11420	$25,000 under $50,000	6050
11420	$50,000 under $75,000	3040
11420	$75,000 under $100,000	1550
11420	$100,000 under $200,000	1410
11420	$200,000 or more	130
		
11421		19,900
11421	$1 under $25,000	9510
11421	$25,000 under $50,000	5130
11421	$50,000 under $75,000	2570
11421	$75,000 under $100,000	1330
11421	$100,000 under $200,000	1250
11421	$200,000 or more	110
		
11422		16,090
11422	$1 under $25,000	6100
11422	$25,000 under $50,000	4280
11422	$50,000 under $75,000	2530
11422	$75,000 under $100,000	1550
11422	$100,000 under $200,000	1490
11422	$200,000 or more	140
		
11423		15,050
11423	$1 under $25,000	6510
11423	$25,000 under $50,000	4020
11423	$50,000 under $75,000	2070
11423	$75,000 under $100,000	1100
11423	$100,000 under $200,000	1090
11423	$200,000 or more	260
		
11426		9,070
11426	$1 under $25,000	3200
11426	$25,000 under $50,000	1830
11426	$50,000 under $75,000	1280
11426	$75,000 under $100,000	990
11426	$100,000 under $200,000	1530
11426	$200,000 or more	240
		
11427		11,510
11427	$1 under $25,000	4170
11427	$25,000 under $50,000	2770
11427	$50,000 under $75,000	1740
11427	$75,000 under $100,000	1100
11427	$100,000 under $200,000	1420
11427	$200,000 or more	310
		
11428		9,910
11428	$1 under $25,000	4050
11428	$25,000 under $50,000	2540
11428	$50,000 under $75,000	1450
11428	$75,000 under $100,000	870
11428	$100,000 under $200,000	920
11428	$200,000 or more	80
		
11429		13,060
11429	$1 under $25,000	5520
11429	$25,000 under $50,000	3650
11429	$50,000 under $75,000	1900
11429	$75,000 under $100,000	1030
11429	$100,000 under $200,000	900
11429	$200,000 or more	60
		
11430		170
11430	$1 under $25,000	60
11430	$25,000 under $50,000	40
11430	$50,000 under $75,000	40
11430	$75,000 under $100,000	30
11430	$100,000 under $200,000	**
11430	$200,000 or more	**
		
11432		27,930
11432	$1 under $25,000	13960
11432	$25,000 under $50,000	6510
11432	$50,000 under $75,000	3300
11432	$75,000 under $100,000	1710
11432	$100,000 under $200,000	1880
11432	$200,000 or more	570
		
11433		15,910
11433	$1 under $25,000	8240
11433	$25,000 under $50,000	4220
11433	$50,000 under $75,000	1810
11433	$75,000 under $100,000	920
11433	$100,000 under $200,000	670
11433	$200,000 or more	50
		
11434		31,680
11434	$1 under $25,000	13060
11434	$25,000 under $50,000	9050
11434	$50,000 under $75,000	5020
11434	$75,000 under $100,000	2560
11434	$100,000 under $200,000	1870
11434	$200,000 or more	120
		
11435		26,040
11435	$1 under $25,000	12270
11435	$25,000 under $50,000	6470
11435	$50,000 under $75,000	3630
11435	$75,000 under $100,000	1820
11435	$100,000 under $200,000	1670
11435	$200,000 or more	180
		
11436		9,230
11436	$1 under $25,000	4150
11436	$25,000 under $50,000	2590
11436	$50,000 under $75,000	1330
11436	$75,000 under $100,000	650
11436	$100,000 under $200,000	490
11436	$200,000 or more	20
		
11501		10,590
11501	$1 under $25,000	2930
11501	$25,000 under $50,000	2060
11501	$50,000 under $75,000	1630
11501	$75,000 under $100,000	1250
11501	$100,000 under $200,000	2170
11501	$200,000 or more	550
		
11507		3,770
11507	$1 under $25,000	950
11507	$25,000 under $50,000	550
11507	$50,000 under $75,000	430
11507	$75,000 under $100,000	410
11507	$100,000 under $200,000	840
11507	$200,000 or more	590
		
11509		1,290
11509	$1 under $25,000	330
11509	$25,000 under $50,000	170
11509	$50,000 under $75,000	130
11509	$75,000 under $100,000	130
11509	$100,000 under $200,000	280
11509	$200,000 or more	250
		
11510		17,830
11510	$1 under $25,000	5570
11510	$25,000 under $50,000	3310
11510	$50,000 under $75,000	2430
11510	$75,000 under $100,000	2000
11510	$100,000 under $200,000	3620
11510	$200,000 or more	900
		
11514		2,510
11514	$1 under $25,000	680
11514	$25,000 under $50,000	470
11514	$50,000 under $75,000	360
11514	$75,000 under $100,000	310
11514	$100,000 under $200,000	540
11514	$200,000 or more	150
		
11516		3,330
11516	$1 under $25,000	970
11516	$25,000 under $50,000	560
11516	$50,000 under $75,000	420
11516	$75,000 under $100,000	320
11516	$100,000 under $200,000	640
11516	$200,000 or more	420
		
11518		5,510
11518	$1 under $25,000	1520
11518	$25,000 under $50,000	920
11518	$50,000 under $75,000	810
11518	$75,000 under $100,000	620
11518	$100,000 under $200,000	1160
11518	$200,000 or more	480
		
11520		23,440
11520	$1 under $25,000	10110
11520	$25,000 under $50,000	5480
11520	$50,000 under $75,000	3010
11520	$75,000 under $100,000	1910
11520	$100,000 under $200,000	2470
11520	$200,000 or more	460
		
11530		14,340
11530	$1 under $25,000	3400
11530	$25,000 under $50,000	1560
11530	$50,000 under $75,000	1340
11530	$75,000 under $100,000	1190
11530	$100,000 under $200,000	3120
11530	$200,000 or more	3730
		
11542		13,390
11542	$1 under $25,000	4900
11542	$25,000 under $50,000	2820
11542	$50,000 under $75,000	1710
11542	$75,000 under $100,000	1140
11542	$100,000 under $200,000	1970
11542	$200,000 or more	850
		
11545		6,140
11545	$1 under $25,000	1640
11545	$25,000 under $50,000	720
11545	$50,000 under $75,000	600
11545	$75,000 under $100,000	460
11545	$100,000 under $200,000	1140
11545	$200,000 or more	1580
		
11548		660
11548	$1 under $25,000	200
11548	$25,000 under $50,000	110
11548	$50,000 under $75,000	80
11548	$75,000 under $100,000	60
11548	$100,000 under $200,000	120
11548	$200,000 or more	90
		
11550		28,650
11550	$1 under $25,000	14440
11550	$25,000 under $50,000	7290
11550	$50,000 under $75,000	3190
11550	$75,000 under $100,000	1660
11550	$100,000 under $200,000	1780
11550	$200,000 or more	290
		
11552		12,730
11552	$1 under $25,000	4030
11552	$25,000 under $50,000	2580
11552	$50,000 under $75,000	1740
11552	$75,000 under $100,000	1280
11552	$100,000 under $200,000	2360
11552	$200,000 or more	740
		
11553		14,310
11553	$1 under $25,000	6410
11553	$25,000 under $50,000	3990
11553	$50,000 under $75,000	1860
11553	$75,000 under $100,000	980
11553	$100,000 under $200,000	990
11553	$200,000 or more	80
		
11554		19,560
11554	$1 under $25,000	5620
11554	$25,000 under $50,000	3570
11554	$50,000 under $75,000	2760
11554	$75,000 under $100,000	2140
11554	$100,000 under $200,000	4290
11554	$200,000 or more	1180
		
11557		4,040
11557	$1 under $25,000	1080
11557	$25,000 under $50,000	570
11557	$50,000 under $75,000	420
11557	$75,000 under $100,000	380
11557	$100,000 under $200,000	810
11557	$200,000 or more	780
		
11558		4,060
11558	$1 under $25,000	1300
11558	$25,000 under $50,000	800
11558	$50,000 under $75,000	600
11558	$75,000 under $100,000	370
11558	$100,000 under $200,000	790
11558	$200,000 or more	200
		
11559		3,810
11559	$1 under $25,000	1270
11559	$25,000 under $50,000	580
11559	$50,000 under $75,000	400
11559	$75,000 under $100,000	260
11559	$100,000 under $200,000	480
11559	$200,000 or more	820
		
11560		3,380
11560	$1 under $25,000	1020
11560	$25,000 under $50,000	480
11560	$50,000 under $75,000	380
11560	$75,000 under $100,000	260
11560	$100,000 under $200,000	570
11560	$200,000 or more	670
		
11561		18,990
11561	$1 under $25,000	5220
11561	$25,000 under $50,000	3210
11561	$50,000 under $75,000	2850
11561	$75,000 under $100,000	2190
11561	$100,000 under $200,000	3910
11561	$200,000 or more	1610
		
11563		11,580
11563	$1 under $25,000	3260
11563	$25,000 under $50,000	1980
11563	$50,000 under $75,000	1670
11563	$75,000 under $100,000	1350
11563	$100,000 under $200,000	2570
11563	$200,000 or more	750
		
11565		4,720
11565	$1 under $25,000	1130
11565	$25,000 under $50,000	690
11565	$50,000 under $75,000	600
11565	$75,000 under $100,000	500
11565	$100,000 under $200,000	1300
11565	$200,000 or more	500
		
11566		18,330
11566	$1 under $25,000	4790
11566	$25,000 under $50,000	2490
11566	$50,000 under $75,000	2140
11566	$75,000 under $100,000	1760
11566	$100,000 under $200,000	4540
11566	$200,000 or more	2610
		
11568		1,650
11568	$1 under $25,000	410
11568	$25,000 under $50,000	210
11568	$50,000 under $75,000	120
11568	$75,000 under $100,000	90
11568	$100,000 under $200,000	200
11568	$200,000 or more	620
		
11570		14,220
11570	$1 under $25,000	3860
11570	$25,000 under $50,000	2050
11570	$50,000 under $75,000	1590
11570	$75,000 under $100,000	1260
11570	$100,000 under $200,000	2820
11570	$200,000 or more	2640
		
11572		15,790
11572	$1 under $25,000	4420
11572	$25,000 under $50,000	2500
11572	$50,000 under $75,000	2050
11572	$75,000 under $100,000	1620
11572	$100,000 under $200,000	3750
11572	$200,000 or more	1450
		
11575		8,850
11575	$1 under $25,000	4210
11575	$25,000 under $50,000	2300
11575	$50,000 under $75,000	1150
11575	$75,000 under $100,000	610
11575	$100,000 under $200,000	540
11575	$200,000 or more	40
		
11576		6,290
11576	$1 under $25,000	1530
11576	$25,000 under $50,000	630
11576	$50,000 under $75,000	500
11576	$75,000 under $100,000	450
11576	$100,000 under $200,000	1120
11576	$200,000 or more	2060
		
11577		5,930
11577	$1 under $25,000	1560
11577	$25,000 under $50,000	780
11577	$50,000 under $75,000	610
11577	$75,000 under $100,000	550
11577	$100,000 under $200,000	1140
11577	$200,000 or more	1290
		
11579		2,640
11579	$1 under $25,000	710
11579	$25,000 under $50,000	370
11579	$50,000 under $75,000	300
11579	$75,000 under $100,000	260
11579	$100,000 under $200,000	550
11579	$200,000 or more	450
		
11580		21,680
11580	$1 under $25,000	6910
11580	$25,000 under $50,000	4590
11580	$50,000 under $75,000	3360
11580	$75,000 under $100,000	2360
11580	$100,000 under $200,000	3810
11580	$200,000 or more	650
		
11581		10,690
11581	$1 under $25,000	3110
11581	$25,000 under $50,000	1870
11581	$50,000 under $75,000	1430
11581	$75,000 under $100,000	1200
11581	$100,000 under $200,000	2370
11581	$200,000 or more	710
		
11590		25,250
11590	$1 under $25,000	9700
11590	$25,000 under $50,000	5570
11590	$50,000 under $75,000	3080
11590	$75,000 under $100,000	1990
11590	$100,000 under $200,000	3680
11590	$200,000 or more	1230
		
11596		5,400
11596	$1 under $25,000	1380
11596	$25,000 under $50,000	790
11596	$50,000 under $75,000	640
11596	$75,000 under $100,000	550
11596	$100,000 under $200,000	1320
11596	$200,000 or more	720
		
11598		5,940
11598	$1 under $25,000	1620
11598	$25,000 under $50,000	710
11598	$50,000 under $75,000	560
11598	$75,000 under $100,000	480
11598	$100,000 under $200,000	1210
11598	$200,000 or more	1360
		
11691		22,030
11691	$1 under $25,000	11290
11691	$25,000 under $50,000	5670
11691	$50,000 under $75,000	2500
11691	$75,000 under $100,000	1180
11691	$100,000 under $200,000	1120
11691	$200,000 or more	270
		
11692		8,260
11692	$1 under $25,000	4070
11692	$25,000 under $50,000	2230
11692	$50,000 under $75,000	960
11692	$75,000 under $100,000	480
11692	$100,000 under $200,000	460
11692	$200,000 or more	60
		
11693		5,510
11693	$1 under $25,000	2290
11693	$25,000 under $50,000	1250
11693	$50,000 under $75,000	780
11693	$75,000 under $100,000	530
11693	$100,000 under $200,000	600
11693	$200,000 or more	60
		
11694		8,400
11694	$1 under $25,000	2610
11694	$25,000 under $50,000	1580
11694	$50,000 under $75,000	1150
11694	$75,000 under $100,000	880
11694	$100,000 under $200,000	1590
11694	$200,000 or more	590
		
11697		1,950
11697	$1 under $25,000	500
11697	$25,000 under $50,000	270
11697	$50,000 under $75,000	270
11697	$75,000 under $100,000	240
11697	$100,000 under $200,000	490
11697	$200,000 or more	180
		
11701		14,490
11701	$1 under $25,000	5770
11701	$25,000 under $50,000	3600
11701	$50,000 under $75,000	1950
11701	$75,000 under $100,000	1160
11701	$100,000 under $200,000	1600
11701	$200,000 or more	410
		
11702		7,670
11702	$1 under $25,000	2060
11702	$25,000 under $50,000	1220
11702	$50,000 under $75,000	980
11702	$75,000 under $100,000	830
11702	$100,000 under $200,000	1780
11702	$200,000 or more	800
		
11703		9,200
11703	$1 under $25,000	2780
11703	$25,000 under $50,000	1910
11703	$50,000 under $75,000	1500
11703	$75,000 under $100,000	1040
11703	$100,000 under $200,000	1720
11703	$200,000 or more	250
		
11704		20,770
11704	$1 under $25,000	6800
11704	$25,000 under $50,000	4720
11704	$50,000 under $75,000	3220
11704	$75,000 under $100,000	2210
11704	$100,000 under $200,000	3360
11704	$200,000 or more	460
		
11705		4,010
11705	$1 under $25,000	1110
11705	$25,000 under $50,000	540
11705	$50,000 under $75,000	460
11705	$75,000 under $100,000	440
11705	$100,000 under $200,000	990
11705	$200,000 or more	470
		
11706		32,130
11706	$1 under $25,000	12530
11706	$25,000 under $50,000	8390
11706	$50,000 under $75,000	4150
11706	$75,000 under $100,000	2710
11706	$100,000 under $200,000	3540
11706	$200,000 or more	810
		
11709		3,500
11709	$1 under $25,000	1000
11709	$25,000 under $50,000	520
11709	$50,000 under $75,000	450
11709	$75,000 under $100,000	380
11709	$100,000 under $200,000	780
11709	$200,000 or more	370
		
11710		18,020
11710	$1 under $25,000	5130
11710	$25,000 under $50,000	2870
11710	$50,000 under $75,000	2290
11710	$75,000 under $100,000	1820
11710	$100,000 under $200,000	4240
11710	$200,000 or more	1670
		
11713		5,270
11713	$1 under $25,000	1860
11713	$25,000 under $50,000	1210
11713	$50,000 under $75,000	730
11713	$75,000 under $100,000	510
11713	$100,000 under $200,000	750
11713	$200,000 or more	210
		
11714		12,390
11714	$1 under $25,000	3610
11714	$25,000 under $50,000	2360
11714	$50,000 under $75,000	1800
11714	$75,000 under $100,000	1330
11714	$100,000 under $200,000	2650
11714	$200,000 or more	640
		
11715		2,340
11715	$1 under $25,000	610
11715	$25,000 under $50,000	340
11715	$50,000 under $75,000	300
11715	$75,000 under $100,000	260
11715	$100,000 under $200,000	620
11715	$200,000 or more	210
		
11716		5,590
11716	$1 under $25,000	1620
11716	$25,000 under $50,000	1080
11716	$50,000 under $75,000	820
11716	$75,000 under $100,000	630
11716	$100,000 under $200,000	1150
11716	$200,000 or more	290
		
11717		32,530
11717	$1 under $25,000	16010
11717	$25,000 under $50,000	9720
11717	$50,000 under $75,000	3760
11717	$75,000 under $100,000	1610
11717	$100,000 under $200,000	1340
11717	$200,000 or more	90
		
11718		1,710
11718	$1 under $25,000	420
11718	$25,000 under $50,000	220
11718	$50,000 under $75,000	180
11718	$75,000 under $100,000	160
11718	$100,000 under $200,000	420
11718	$200,000 or more	310
		
11719		1,610
11719	$1 under $25,000	400
11719	$25,000 under $50,000	300
11719	$50,000 under $75,000	230
11719	$75,000 under $100,000	200
11719	$100,000 under $200,000	350
11719	$200,000 or more	130
		
11720		14,640
11720	$1 under $25,000	4700
11720	$25,000 under $50,000	2780
11720	$50,000 under $75,000	2020
11720	$75,000 under $100,000	1610
11720	$100,000 under $200,000	2940
11720	$200,000 or more	590
		
11721		3,300
11721	$1 under $25,000	820
11721	$25,000 under $50,000	420
11721	$50,000 under $75,000	350
11721	$75,000 under $100,000	310
11721	$100,000 under $200,000	780
11721	$200,000 or more	620
		
11722		19,260
11722	$1 under $25,000	8820
11722	$25,000 under $50,000	5290
11722	$50,000 under $75,000	2340
11722	$75,000 under $100,000	1350
11722	$100,000 under $200,000	1340
11722	$200,000 or more	120
		
11724		1,680
11724	$1 under $25,000	420
11724	$25,000 under $50,000	190
11724	$50,000 under $75,000	150
11724	$75,000 under $100,000	100
11724	$100,000 under $200,000	280
11724	$200,000 or more	540
		
11725		14,660
11725	$1 under $25,000	4020
11725	$25,000 under $50,000	2200
11725	$50,000 under $75,000	1700
11725	$75,000 under $100,000	1500
11725	$100,000 under $200,000	3620
11725	$200,000 or more	1620
		
11726		10,880
11726	$1 under $25,000	4810
11726	$25,000 under $50,000	2830
11726	$50,000 under $75,000	1370
11726	$75,000 under $100,000	820
11726	$100,000 under $200,000	900
11726	$200,000 or more	150
		
11727		14,510
11727	$1 under $25,000	4400
11727	$25,000 under $50,000	3210
11727	$50,000 under $75,000	2340
11727	$75,000 under $100,000	1700
11727	$100,000 under $200,000	2530
11727	$200,000 or more	330
		
11729		14,780
11729	$1 under $25,000	4890
11729	$25,000 under $50,000	3300
11729	$50,000 under $75,000	2180
11729	$75,000 under $100,000	1540
11729	$100,000 under $200,000	2510
11729	$200,000 or more	360
		
11730		7,290
11730	$1 under $25,000	2160
11730	$25,000 under $50,000	1200
11730	$50,000 under $75,000	950
11730	$75,000 under $100,000	730
11730	$100,000 under $200,000	1670
11730	$200,000 or more	580
		
11731		15,160
11731	$1 under $25,000	4370
11731	$25,000 under $50,000	2360
11731	$50,000 under $75,000	1840
11731	$75,000 under $100,000	1540
11731	$100,000 under $200,000	3630
11731	$200,000 or more	1420
		
11732		1,870
11732	$1 under $25,000	460
11732	$25,000 under $50,000	280
11732	$50,000 under $75,000	230
11732	$75,000 under $100,000	170
11732	$100,000 under $200,000	430
11732	$200,000 or more	300
		
11733		8,680
11733	$1 under $25,000	2200
11733	$25,000 under $50,000	1090
11733	$50,000 under $75,000	850
11733	$75,000 under $100,000	780
11733	$100,000 under $200,000	2120
11733	$200,000 or more	1640
		
11735		17,230
11735	$1 under $25,000	5200
11735	$25,000 under $50,000	3390
11735	$50,000 under $75,000	2400
11735	$75,000 under $100,000	1910
11735	$100,000 under $200,000	3500
11735	$200,000 or more	830
		
11738		8,250
11738	$1 under $25,000	2660
11738	$25,000 under $50,000	1650
11738	$50,000 under $75,000	1140
11738	$75,000 under $100,000	890
11738	$100,000 under $200,000	1650
11738	$200,000 or more	260
		
11740		4,520
11740	$1 under $25,000	1320
11740	$25,000 under $50,000	640
11740	$50,000 under $75,000	510
11740	$75,000 under $100,000	430
11740	$100,000 under $200,000	1020
11740	$200,000 or more	600
		
11741		14,240
11741	$1 under $25,000	3910
11741	$25,000 under $50,000	2700
11741	$50,000 under $75,000	2110
11741	$75,000 under $100,000	1600
11741	$100,000 under $200,000	3260
11741	$200,000 or more	660
		
11742		6,750
11742	$1 under $25,000	1940
11742	$25,000 under $50,000	1230
11742	$50,000 under $75,000	1020
11742	$75,000 under $100,000	790
11742	$100,000 under $200,000	1470
11742	$200,000 or more	300
		
11743		22,080
11743	$1 under $25,000	6010
11743	$25,000 under $50,000	3230
11743	$50,000 under $75,000	2530
11743	$75,000 under $100,000	1950
11743	$100,000 under $200,000	4620
11743	$200,000 or more	3740
		
11746		33,520
11746	$1 under $25,000	11680
11746	$25,000 under $50,000	5980
11746	$50,000 under $75,000	3800
11746	$75,000 under $100,000	2760
11746	$100,000 under $200,000	5670
11746	$200,000 or more	3630
		
11747		10,590
11747	$1 under $25,000	2630
11747	$25,000 under $50,000	1450
11747	$50,000 under $75,000	1120
11747	$75,000 under $100,000	980
11747	$100,000 under $200,000	2380
11747	$200,000 or more	2030
		
11749		1,800
11749	$1 under $25,000	590
11749	$25,000 under $50,000	430
11749	$50,000 under $75,000	270
11749	$75,000 under $100,000	190
11749	$100,000 under $200,000	270
11749	$200,000 or more	50
		
11751		7,700
