"ZIP","0_25000","25000_50000","50000_75000","75000_100000","100000_200000","200000_","nbrReturns","medianInc","jl_benef"
10803,"1330","770","610","480","1010","1800","6000","90104",120
11001,"3850","2380","1800","1460","3090","1290","13870","59792",310
11003,"8250","6240","3690","2410","2980","410","23980","39984",630
11004,"2010","1330","1080","860","1330","230","6840","51852",140
11005,"210","150","200","200","440","250","1450","95625",0
11030,"1880","770","740","560","1370","3270","8590","125182",120
11040,"5530","3430","2760","2180","5140","2280","21320","65399",320
11101,"5730","3590","2740","1810","3120","1540","18530","49617",570
11102,"6820","4500","3360","1900","2200","470","19250","40583",570
11103,"7090","5080","4060","2040","2170","390","20830","41363",670
11104,"5230","3460","2610","1570","1830","410","15110","41799",480
11105,"6400","4530","3610","2030","2460","640","19670","43957",670
11106,"7650","5090","3930","2200","2510","500","21880","41159",680
11109,"360","300","400","410","1110","980","3560","127928",70
11201,"5900","4120","4310","3590","7100","6950","31970","86525",880
11203,"16110","11100","5520","2690","2140","200","37760","31239",1050
11204,"16610","7590","3720","2020","2430","830","33200","24985",770
11205,"7000","4250","2700","1600","2200","1020","18770","39029",560
11206,"17360","10000","4930","2140","1730","330","36490","27212",1140
11207,"22470","12270","5000","2160","1510","120","43530","24216",1390
11208,"23690","12310","4820","1820","1280","90","44010","23222",1300
11209,"10950","6560","5560","3820","5280","1940","34110","48266",900
11210,"11580","7590","4230","2230","2650","1190","29470","35392",840
11211,"10060","6720","4980","3080","4190","1920","30950","45145",900
11212,"20670","10750","4260","1620","1030","40","38370","23204",1190
11213,"13450","8470","4010","1680","1380","310","29300","28542",900
11214,"19700","9560","4930","2910","3130","630","40860","26909",1060
11215,"6320","5390","5230","3710","6830","5450","32930","72729",1030
11216,"10410","8190","5200","2310","2260","650","29020","37515",960
11217,"4290","3430","3060","2120","3630","2700","19230","65482",660
11218,"13360","7370","4420","2720","3870","1380","33120","35855",790
11219,"20390","7160","2670","1410","1610","670","33910","20788",500
11220,"36120","10250","3660","1670","1810","390","53900","18653",750
11221,"17480","11820","5640","2290","1900","390","39520","29822",1220
11222,"5900","4960","4450","2670","3440","1150","22570","52388",890
11223,"15510","7450","3740","2220","2660","1160","32740","27886",840
11224,"10120","4890","2350","1280","1350","250","20240","25000",630
11225,"11770","8800","5070","2360","2070","530","30600","35028",980
