"ZIP","Borough","HousCond","Sani","NoiseResid","Traffic","NoiseConst","NoiseTraf","IAO","NoiseBiz","EnvProt","ConsumProt","UrbInf","SocServ","WaterSyst"
"00083","Manhattan","0","0","0","0","0","8","0","0","0","0","0","0","0"
"10001","Manhattan","28","31","68","42","100","18","34","26","19","90","89","39","37"
"10002","Manhattan","25","97","205","81","64","72","31","148","21","39","121","19","101"
"10003","Manhattan","49","77","139","47","70","107","55","80","31","82","111","74","81"
"10004","Manhattan","10","4","4","4","17","9","7","7","1","16","61","1","7"
"10005","Manhattan","4","7","4","5","13","7","18","2","6","16","41","4","3"
"10006","Manhattan","12","5","4","3","11","6","6","6","0","9","19","1","4"
"10007","Manhattan","15","11","3","17","29","17","19","5","5","20","71","4","11"
"10009","Manhattan","32","72","235","38","55","56","35","117","26","39","39","18","34"
"10010","Manhattan","18","29","61","19","50","31","21","18","14","51","83","16","28"
"10011","Manhattan","50","111","112","61","119","81","97","86","51","57","139","16","57"
"10012","Manhattan","22","41","81","33","33","54","17","133","25","41","51","10","22"
"10013","Manhattan","43","90","38","59","95","51","39","70","20","37","171","13","38"
"10014","Manhattan","26","64","99","35","48","53","19","83","28","42","82","12","26"
"10016","Manhattan","22","51","111","60","150","42","45","46","16","82","222","23","55"
"10017","Manhattan","21","18","36","122","35","95","28","70","10","52","43","11","9"
"10018","Manhattan","13","21","12","29","38","18","30","28","3","44","55","14","24"
"10019","Manhattan","44","64","107","70","110","138","63","50","30","120","125","41","46"
"10020","Manhattan","1","0","0","0","4","2","1","0","0","3","6","0","1"
"10021","Manhattan","10","33","34","50","31","7","63","12","41","27","80","7","80"
"10022","Manhattan","37","35","23","30","70","17","37","32","12","75","77","14","29"
"10023","Manhattan","43","43","84","53","32","70","43","14","39","48","111","11","26"
"10024","Manhattan","36","51","119","42","66","55","38","28","22","35","81","23","32"
"10025","Manhattan","63","71","205","42","62","117","40","58","32","38","74","34","41"
