"ZIP","Date","offCat","planeX","planeY","GPS"
"",2014-04-01,"MISDEMEANOR",988895,160270,"(40.606587448, -73.983272907)"
"",2014-04-01,"FELONY",NA,NA,""
"",2014-04-01,"FELONY",1025368,245361,"(40.840047021, -73.851399092)"
"",2014-04-01,"MISDEMEANOR",1013729,254070,"(40.863997149, -73.893424636)"
"",2014-04-01,"FELONY",1023064,190281,"(40.688877271, -73.860043879)"
"",2014-04-01,"FELONY",NA,NA,""
"",2014-04-01,"MISDEMEANOR",1014808,260884,"(40.882695805, -73.889492604)"
"",2014-04-01,"FELONY",998638,231227,"(40.801337182, -73.948032812)"
"",2014-04-01,"MISDEMEANOR",1041860,190317,"(40.688873698, -73.792268178)"
"",2014-04-01,"FELONY",1025190,260870,"(40.882615325, -73.851947659)"
"",2014-04-01,"FELONY",987653,210944,"(40.745676707, -73.987720275)"
"",2014-04-01,"VIOLATION",988113,206263,"(40.732828332, -73.986062857)"
"",2014-04-01,"VIOLATION",938200,140799,"(40.553025042, -74.165713361)"
"",2014-04-01,"MISDEMEANOR",1005605,255857,"(40.86892531, -73.922790005)"
"",2014-04-01,"FELONY",1036628,204948,"(40.72906475, -73.811020132)"
"",2014-04-01,"FELONY",1007008,244834,"(40.838666958, -73.917754718)"
"",2014-04-01,"MISDEMEANOR",NA,NA,""
"",2014-04-01,"MISDEMEANOR",987756,204106,"(40.726908042, -73.987352119)"
"",2014-04-01,"MISDEMEANOR",1005089,193554,"(40.69792147, -73.924848911)"
"",2014-04-01,"FELONY",986650,212527,"(40.750021973, -73.991339463)"
"",2014-04-01,"FELONY",982879,171794,"(40.638219538, -74.004941311)"
"",2014-04-01,"FELONY",NA,NA,""
"",2014-04-01,"FELONY",1020423,219020,"(40.767769924, -73.869412438)"
"",2014-04-01,"FELONY",1022973,243424,"(40.834741349, -73.860065901)"
"",2014-04-01,"FELONY",NA,NA,""
"",2014-04-01,"FELONY",1009534,191491,"(40.692247432, -73.908826481)"
"",2014-04-01,"FELONY",1016641,243401,"(40.834703714, -73.882948299)"
"",2014-04-01,"FELONY",NA,NA,""
"",2014-04-01,"MISDEMEANOR",NA,NA,""
"",2014-04-01,"FELONY",985356,187044,"(40.680077477, -73.996013899)"
"",2014-04-01,"FELONY",1005250,254387,"(40.864891459, -73.924078153)"
"",2014-04-01,"VIOLATION",1021029,184366,"(40.672650645, -73.867414061)"
"",2014-04-01,"MISDEMEANOR",1057767,203992,"(40.726290343, -73.73476086)"
"",2014-04-01,"MISDEMEANOR",1035418,196507,"(40.70590336, -73.815449995)"
"",2014-04-01,"MISDEMEANOR",1035349,196640,"(40.706268811, -73.815697852)"
"",2014-04-01,"FELONY",NA,NA,""
"",2014-04-01,"VIOLATION",1055260,192731,"(40.69540218, -73.743924534)"
"",2014-04-01,"MISDEMEANOR",1027682,239820,"(40.824827513, -73.84307208)"
"",2014-04-01,"FELONY",1005509,177647,"(40.654259352, -73.923384421)"
"",2014-04-01,"FELONY",NA,NA,""
"",2014-04-01,"MISDEMEANOR",1034104,202989,"(40.723702367, -73.820141281)"
"",2014-04-01,"VIOLATION",983910,211837,"(40.748128416, -74.001228528)"
"",2014-04-01,"FELONY",996389,221200,"(40.773819125, -73.95617419)"
"",2014-04-01,"MISDEMEANOR",1032690,206636,"(40.73372033, -73.825216357)"
"",2014-04-01,"MISDEMEANOR",1034228,202621,"(40.722691598, -73.819696655)"
"",2014-04-01,"FELONY",1037800,182872,"(40.6684644, -73.806967055)"
"",2014-04-01,"MISDEMEANOR",1032659,206763,"(40.734069082, -73.825327299)"
"",2014-04-01,"MISDEMEANOR",1032681,207141,"(40.735106477, -73.825245196)"
"",2014-04-01,"MISDEMEANOR",1032681,207141,"(40.735106477, -73.825245196)"
"",2014-04-01,"MISDEMEANOR",1032659,206763,"(40.734069082, -73.825327299)"
"",2014-04-01,"MISDEMEANOR",1032601,209993,"(40.742934933, -73.825513364)"
"",2014-04-01,"MISDEMEANOR",1032536,210465,"(40.744230808, -73.825744547)"
"",2014-04-01,"MISDEMEANOR",1032669,209565,"(40.74175981, -73.825271049)"
"",2014-04-01,"MISDEMEANOR",1032659,206763,"(40.734069082, -73.825327299)"
"",2014-04-01,"MISDEMEANOR",NA,NA,""
"",2014-04-01,"MISDEMEANOR",NA,NA,""
"",2014-04-01,"FELONY",1015143,212289,"(40.749315089, -73.888504799)"
"",2014-04-01,"FELONY",NA,NA,""
"",2014-04-01,"MISDEMEANOR",998362,234740,"(40.810979844, -73.949022325)"
"",2014-04-01,"FELONY",1058426,184333,"(40.672325719, -73.732599792)"
"",2014-04-01,"VIOLATION",1013591,171707,"(40.637932254, -73.894282911)"
"",2014-04-01,"MISDEMEANOR",NA,NA,""
"",2014-04-01,"FELONY",NA,NA,""
"",2014-04-01,"FELONY",998810,239140,"(40.823055882, -73.947394395)"
"",2014-04-01,"FELONY",1007066,217399,"(40.763365261, -73.917638329)"
"",2014-04-01,"FELONY",985433,207418,"(40.735999287, -73.99573271)"
"",2014-04-01,"FELONY",1008449,184543,"(40.673179794, -73.912763975)"
"",2014-04-01,"FELONY",999939,215359,"(40.757781504, -73.943370726)"
"",2014-04-01,"FELONY",NA,NA,""
"",2014-04-01,"FELONY",993956,197517,"(40.708818188, -73.964992585)"
"",2014-04-01,"FELONY",1042828,186369,"(40.678031014, -73.788812045)"
"",2014-04-01,"FELONY",NA,NA,""
"",2014-04-01,"VIOLATION",986109,210622,"(40.744793357, -73.993292546)"
"",2014-04-01,"FELONY",991435,211250,"(40.746514337, -73.974070993)"
"",2014-04-01,"MISDEMEANOR",1003789,183568,"(40.670515149, -73.929566108)"
"",2014-04-01,"FELONY",997788,235798,"(40.813884657, -73.951093746)"
"",2014-04-01,"FELONY",1042606,198951,"(40.712567058, -73.789503409)"
"",2014-04-01,"FELONY",NA,NA,""
"",2014-04-01,"FELONY",998840,224118,"(40.781824561, -73.947318642)"
"",2014-04-01,"MISDEMEANOR",1012587,212690,"(40.750424291, -73.89772802)"
"",2014-04-01,"MISDEMEANOR",1013591,208152,"(40.737965349, -73.894124199)"
"",2014-04-01,"MISDEMEANOR",1005571,207295,"(40.735636066, -73.923067136)"
"",2014-04-01,"MISDEMEANOR",1013599,208412,"(40.738678957, -73.894094196)"
"",2014-04-01,"MISDEMEANOR",1002875,221017,"(40.773305552, -73.932757322)"
"",2014-04-01,"MISDEMEANOR",1046690,193213,"(40.696789768, -73.774825132)"
"",2014-04-01,"FELONY",947009,158211,"(40.600858876, -74.134109967)"
"",2014-04-01,"MISDEMEANOR",1006349,207184,"(40.735329489, -73.92026018)"
"",2014-04-01,"MISDEMEANOR",NA,NA,""
"",2014-04-01,"MISDEMEANOR",1002198,230175,"(40.798443216, -73.935177111)"
"",2014-04-01,"FELONY",1016268,227533,"(40.791151867, -73.884371919)"
"",2014-04-01,"MISDEMEANOR",1010852,259044,"(40.877658389, -73.903806235)"
"",2014-04-01,"FELONY",986301,214682,"(40.755936991, -73.992598403)"
"",2014-04-01,"MISDEMEANOR",1012317,214035,"(40.754116836, -73.898696885)"
"",2014-04-01,"FELONY",989805,226380,"(40.788043444, -73.979941114)"
"",2014-04-01,"VIOLATION",989000,206097,"(40.732372271, -73.982862475)"
"",2014-04-01,"MISDEMEANOR",998911,202255,"(40.721816043, -73.947109933)"
"",2014-04-01,"MISDEMEANOR",1028857,246461,"(40.84304926, -73.838782395)"
"",2014-04-01,"MISDEMEANOR",1003271,249954,"(40.852728692, -73.931245597)"
"",2014-04-01,"FELONY",1043650,154675,"(40.591032489, -73.786127507)"
"",2014-04-01,"MISDEMEANOR",1003133,249705,"(40.852045557, -73.931745131)"
"",2014-04-01,"MISDEMEANOR",1001520,211920,"(40.748339375, -73.937672812)"
"",2014-04-01,"MISDEMEANOR",NA,NA,""
"",2014-04-01,"VIOLATION",987608,215185,"(40.757317199, -73.98788056)"
"",2014-04-01,"FELONY",1044187,200105,"(40.715723934, -73.783790276)"
"",2014-04-01,"FELONY",NA,NA,""
"",2014-04-01,"FELONY",NA,NA,""
"",2014-04-01,"MISDEMEANOR",1002604,210271,"(40.7438111, -73.933765081)"
"",2014-04-01,"MISDEMEANOR",1006490,210733,"(40.745070255, -73.919739668)"
"",2014-04-01,"MISDEMEANOR",1007518,210577,"(40.744639431, -73.916030268)"
"",2014-04-01,"MISDEMEANOR",1009179,212095,"(40.748801432, -73.910030313)"
"",2014-04-01,"MISDEMEANOR",1009155,211851,"(40.748131781, -73.910117835)"
"",2014-04-01,"MISDEMEANOR",998441,209771,"(40.742446385, -73.948789668)"
"",2014-04-01,"MISDEMEANOR",1012959,211324,"(40.746673768, -73.896391236)"
"",2014-04-01,"MISDEMEANOR",1013703,207308,"(40.735648407, -73.893723741)"
"",2014-04-01,"MISDEMEANOR",1014628,207528,"(40.736249123, -73.890384997)"
"",2014-04-01,"MISDEMEANOR",1013705,207840,"(40.737108608, -73.893714195)"
"",2014-04-01,"MISDEMEANOR",1013094,208166,"(40.73800541, -73.895917566)"
"",2014-04-01,"MISDEMEANOR",1007232,209568,"(40.741870725, -73.917065852)"
"",2014-04-01,"MISDEMEANOR",1007132,208896,"(40.740026512, -73.917429009)"
"",2014-04-01,"MISDEMEANOR",1001554,209396,"(40.74141156, -73.937556596)"
"",2014-04-01,"MISDEMEANOR",1000890,208300,"(40.738404587, -73.939955481)"
"",2014-04-01,"FELONY",1017650,242130,"(40.831211429, -73.879308351)"
"",2014-04-01,"MISDEMEANOR",1028312,254955,"(40.86636546, -73.840696307)"
"",2014-04-01,"FELONY",991296,225555,"(40.785777977, -73.974557647)"
"",2014-04-01,"FELONY",NA,NA,""
"",2014-04-01,"FELONY",1002251,183677,"(40.67081759, -73.935110087)"
"",2014-04-01,"MISDEMEANOR",NA,NA,""
"",2014-04-01,"FELONY",999970,235628,"(40.813414441, -73.9432114)"
"",2014-04-01,"MISDEMEANOR",1019388,259017,"(40.877554428, -73.872939471)"
"",2014-04-01,"FELONY",1016239,208611,"(40.739216009, -73.884566696)"
"",2014-04-01,"VIOLATION",992749,230530,"(40.799431733, -73.969304426)"
"",2014-04-01,"MISDEMEANOR",1029352,187727,"(40.681837327, -73.837387422)"
"",2014-04-01,"FELONY",1003358,182945,"(40.668806093, -73.931121567)"
"",2014-04-01,"FELONY",NA,NA,""
"",2014-04-01,"MISDEMEANOR",1002601,192725,"(40.695651567, -73.933823742)"
"",2014-04-01,"FELONY",1008177,185590,"(40.676054311, -73.913740819)"
"",2014-04-01,"VIOLATION",1020676,212952,"(40.751113794, -73.868531956)"
"",2014-04-01,"MISDEMEANOR",1004317,255023,"(40.866639255, -73.927449412)"
"",2014-04-01,"MISDEMEANOR",1005694,208082,"(40.737795888, -73.922620796)"
"",2014-04-01,"MISDEMEANOR",1005694,208082,"(40.737795888, -73.922620796)"
"",2014-04-01,"MISDEMEANOR",1059571,203833,"(40.725838752, -73.728254064)"
"",2014-04-01,"MISDEMEANOR",1025893,203245,"(40.724447487, -73.849762769)"
"",2014-04-01,"MISDEMEANOR",1025893,203245,"(40.724447487, -73.849762769)"
"",2014-04-01,"MISDEMEANOR",1025893,203245,"(40.724447487, -73.849762769)"
