"ZIP","Date","offCat","planeX","planeY","GPS"
"11223",2014-04-01,"MISDEMEANOR",988895,160270,"(40.606587448, -73.983272907)"
"10461",2014-04-01,"FELONY",1025368,245361,"(40.840047021, -73.851399092)"
"10458",2014-04-01,"MISDEMEANOR",1013729,254070,"(40.863997149, -73.893424636)"
"11416",2014-04-01,"FELONY",1023064,190281,"(40.688877271, -73.860043879)"
"10463",2014-04-01,"MISDEMEANOR",1014808,260884,"(40.882695805, -73.889492604)"
"10026",2014-04-01,"FELONY",998638,231227,"(40.801337182, -73.948032812)"
"11434",2014-04-01,"MISDEMEANOR",1041860,190317,"(40.688873698, -73.792268178)"
"10469",2014-04-01,"FELONY",1025190,260870,"(40.882615325, -73.851947659)"
"10016",2014-04-01,"FELONY",987653,210944,"(40.745676707, -73.987720275)"
"10009",2014-04-01,"VIOLATION",988113,206263,"(40.732828332, -73.986062857)"
"10312",2014-04-01,"VIOLATION",938200,140799,"(40.553025042, -74.165713361)"
"10034",2014-04-01,"MISDEMEANOR",1005605,255857,"(40.86892531, -73.922790005)"
"11432",2014-04-01,"FELONY",1036628,204948,"(40.72906475, -73.811020132)"
"10456",2014-04-01,"FELONY",1007008,244834,"(40.838666958, -73.917754718)"
"10009",2014-04-01,"MISDEMEANOR",987756,204106,"(40.726908042, -73.987352119)"
"11221",2014-04-01,"MISDEMEANOR",1005089,193554,"(40.69792147, -73.924848911)"
"10121",2014-04-01,"FELONY",986650,212527,"(40.750021973, -73.991339463)"
"11220",2014-04-01,"FELONY",982879,171794,"(40.638219538, -74.004941311)"
"11371",2014-04-01,"FELONY",1020423,219020,"(40.767769924, -73.869412438)"
"10472",2014-04-01,"FELONY",1022973,243424,"(40.834741349, -73.860065901)"
"11207",2014-04-01,"FELONY",1009534,191491,"(40.692247432, -73.908826481)"
"10459",2014-04-01,"FELONY",1016641,243401,"(40.834703714, -73.882948299)"
"11231",2014-04-01,"FELONY",985356,187044,"(40.680077477, -73.996013899)"
"10040",2014-04-01,"FELONY",1005250,254387,"(40.864891459, -73.924078153)"
"11208",2014-04-01,"VIOLATION",1021029,184366,"(40.672650645, -73.867414061)"
"11428",2014-04-01,"MISDEMEANOR",1057767,203992,"(40.726290343, -73.73476086)"
"11418",2014-04-01,"MISDEMEANOR",1035418,196507,"(40.70590336, -73.815449995)"
"11418",2014-04-01,"MISDEMEANOR",1035349,196640,"(40.706268811, -73.815697852)"
"11411",2014-04-01,"VIOLATION",1055260,192731,"(40.69540218, -73.743924534)"
"10473",2014-04-01,"MISDEMEANOR",1027682,239820,"(40.824827513, -73.84307208)"
"11203",2014-04-01,"FELONY",1005509,177647,"(40.654259352, -73.923384421)"
"11367",2014-04-01,"MISDEMEANOR",1034104,202989,"(40.723702367, -73.820141281)"
"10011",2014-04-01,"VIOLATION",983910,211837,"(40.748128416, -74.001228528)"
"10075",2014-04-01,"FELONY",996389,221200,"(40.773819125, -73.95617419)"
"11367",2014-04-01,"MISDEMEANOR",1032690,206636,"(40.73372033, -73.825216357)"
"11367",2014-04-01,"MISDEMEANOR",1034228,202621,"(40.722691598, -73.819696655)"
"11420",2014-04-01,"FELONY",1037800,182872,"(40.6684644, -73.806967055)"
"11367",2014-04-01,"MISDEMEANOR",1032659,206763,"(40.734069082, -73.825327299)"
"11367",2014-04-01,"MISDEMEANOR",1032681,207141,"(40.735106477, -73.825245196)"
"11367",2014-04-01,"MISDEMEANOR",1032681,207141,"(40.735106477, -73.825245196)"
"11367",2014-04-01,"MISDEMEANOR",1032659,206763,"(40.734069082, -73.825327299)"
"11367",2014-04-01,"MISDEMEANOR",1032601,209993,"(40.742934933, -73.825513364)"
"11355",2014-04-01,"MISDEMEANOR",1032536,210465,"(40.744230808, -73.825744547)"
"11367",2014-04-01,"MISDEMEANOR",1032669,209565,"(40.74175981, -73.825271049)"
"11367",2014-04-01,"MISDEMEANOR",1032659,206763,"(40.734069082, -73.825327299)"
"11372",2014-04-01,"FELONY",1015143,212289,"(40.749315089, -73.888504799)"
"10026",2014-04-01,"MISDEMEANOR",998362,234740,"(40.810979844, -73.949022325)"
"11422",2014-04-01,"FELONY",1058426,184333,"(40.672325719, -73.732599792)"
"11234",2014-04-01,"VIOLATION",1013591,171707,"(40.637932254, -73.894282911)"
"10027",2014-04-01,"FELONY",998810,239140,"(40.823055882, -73.947394395)"
"11377",2014-04-01,"FELONY",1007066,217399,"(40.763365261, -73.917638329)"
"10002",2014-04-01,"FELONY",985433,207418,"(40.735999287, -73.99573271)"
"11233",2014-04-01,"FELONY",1008449,184543,"(40.673179794, -73.912763975)"
"11101",2014-04-01,"FELONY",999939,215359,"(40.757781504, -73.943370726)"
"11249",2014-04-01,"FELONY",993956,197517,"(40.708818188, -73.964992585)"
"11434",2014-04-01,"FELONY",1042828,186369,"(40.678031014, -73.788812045)"
"10010",2014-04-01,"VIOLATION",986109,210622,"(40.744793357, -73.993292546)"
"10016",2014-04-01,"FELONY",991435,211250,"(40.746514337, -73.974070993)"
"11233",2014-04-01,"MISDEMEANOR",1003789,183568,"(40.670515149, -73.929566108)"
"10027",2014-04-01,"FELONY",997788,235798,"(40.813884657, -73.951093746)"
"11432",2014-04-01,"FELONY",1042606,198951,"(40.712567058, -73.789503409)"
"10028",2014-04-01,"FELONY",998840,224118,"(40.781824561, -73.947318642)"
"11377",2014-04-01,"MISDEMEANOR",1012587,212690,"(40.750424291, -73.89772802)"
"11377",2014-04-01,"MISDEMEANOR",1013591,208152,"(40.737965349, -73.894124199)"
"11104",2014-04-01,"MISDEMEANOR",1005571,207295,"(40.735636066, -73.923067136)"
