"ZIP","Borough","HousCond","IAO","NoiseResid","ConsumProt","Traffic","UrbInf","NoiseBiz","WaterSyst","NoiseConst","Sani","NoiseTraf","EnvProt","SocServ","Violation","Misdemeanor","Felony","medianInc","jlBenef"
"10033_201404","Manhattan","HousCond_[0,70]","MH","VH","H","L","L","H","L","M","M","H","M","MH","L","M","ML",24333,1730
"10034_201404","Manhattan","HousCond_[0,70]","L","VH","M","M","L","H","L","M","L","H","L","M","L","H","M",25182,1330
"10035_201404","Manhattan","HousCond_[0,70]","M","H","H","M","M","L","L","L","M","M","M","M","H","OC","VH",24819,860
"10036_201404","Manhattan","HousCond_[0,70]","MH","M","H","M","VH","H","MH","H","H","M","M","L","H","OC","VH",63189,990
"10037_201404","Manhattan","HousCond_[0,70]","L","M","L","L","L","VL","M","L","L","M","L","M","H","VH","H",33099,700
"10038_201404","Manhattan","HousCond_[0,70]","MH","M","M","L","H","L","L","H","M","L","L","VL","M","H","M",57485,430
"10039_201404","Manhattan","HousCond_[0,70]","L","VH","VL","L","L","VL","L","VL","L","M","L","L","MH","VH","H",23951,890
"10040_201404","Manhattan","HousCond_[0,70]","L","VH","L","L","L","H","L","L","L","H","M","M","MH","VH","H",25479,1440
"10044_201404","Manhattan","HousCond_[0,70]","L","L","VL","L","L","VL","L","VL","L","VL","L","L","L","M","ML",55952,150
"10065_201404","Manhattan","HousCond_[0,70]","M","L","H","L","M","H","M","H","L","L","M","MH","M","VH","H",92955,450
"10069_201404","Manhattan","HousCond_[0,70]","L","L","VL","L","L","VL","L","VL","L","VL","L","VL","L","M","ML",174038,90
"10075_201404","Manhattan","HousCond_[0,70]","M","L","M","L","M","M","L","H","L","L","L","VL","M","H","H",90981,410
"10128_201404","Manhattan","HousCond_[0,70]","M","H","H","M","H","H","M","H","M","H","MH","M","M","H","M",78357,1170
"10280_201404","Manhattan","HousCond_[0,70]","L","L","VL","L","L","VL","L","L","L","VL","L","VL","L","M","ML",124370,160
"10282_201404","Manhattan","HousCond_[0,70]","L","L","VL","L","L","VL","L","M","L","VL","L","VL","L","M","ML",NA,60
"10301_201404","Staten Island","HousCond_[0,70]","MH","H","L","H","H","L","H","VL","VH","L","H","M","MH","VH","M",39562,910
"10302_201404","Staten Island","HousCond_[0,70]","L","L","VL","L","M","VL","MH","L","M","VL","L","L","L","M","ML",32514,400
"10303_201404","Staten Island","HousCond_[0,70]","L","M","L","M","L","VL","MH","VL","VH","L","L","L","M","M","ML",30249,660
"10304_201404","Staten Island","HousCond_[0,70]","M","H","VL","M","H","M","H","L","VH","VL","MH","VL","MH","H","M",33205,970
"10305_201404","Staten Island","HousCond_[0,70]","H","M","VL","H","VH","VL","H","M","VH","VL","H","L","H","VH","H",42462,1070
"10306_201404","Staten Island","HousCond_[0,70]","H","M","L","H","VH","L","H","M","VH","L","H","M","H","VH","H",49248,1560
"10307_201404","Staten Island","HousCond_[0,70]","L","L","VL","L","L","L","L","VL","L","VL","MH","VL","M","M","ML",58642,380
"10308_201404","Staten Island","HousCond_[0,70]","M","L","VL","M","H","VL","MH","VL","H","VL","H","VL","L","M","ML",56439,790
"10309_201404","Staten Island","HousCond_[0,70]","M","M","VL","M","VH","L","H","L","H","VL","MH","VL","MH","VH","M",57735,910
"10310_201404","Staten Island","HousCond_[0,70]","M","M","VL","M","M","L","M","L","H","L","MH","L","MH","VH","M",38466,560
"10312_201404","Staten Island","HousCond_[0,70]","H","M","VL","VH","VH","L","H","M","VH","L","H","VL","M","H","M",57629,1700
"10314_201404","Staten Island","HousCond_[0,70]","H","M","L","VH","VH","L","H","M","VH","L","H","M","H","OC","VH",48289,2160
"10451_201404","Bronx","HousCond_[0,70]","MH","VH","M","M","M","H","M","M","L","M","L","M","H","OC","VH",22524,1450
"10452_201404","Bronx","HousCond_[0,70]","L","VH","M","H","M","L","MH","L","M","H","M","MH","MH","OC","H",20000,2220
"10453_201404","Bronx","HousCond_[0,70]","L","VH","L","H","M","M","M","L","M","M","M","MH","MH","OC","H",19228,2430
"10454_201404","Bronx","HousCond_[0,70]","M","H","L","L","L","L","M","M","M","VL","L","L","H","OC","VH",19165,970
"10455_201404","Bronx","HousCond_[0,70]","L","H","L","M","L","L","L","VL","L","L","L","M","H","OC","VH",20284,1140
"10456_201404","Bronx","HousCond_[0,70]","L","VH","M","H","L","L","L","M","M","M","M","MH","H","OC","VH",19261,2540
"10457_201404","Bronx","HousCond_[0,70]","M","VH","M","M","M","M","M","L","M","H","L","MH","H","OC","VH",19279,1910
"10458_201404","Bronx","HousCond_[0,70]","M","VH","H","M","M","M","L","M","H","H","M","MH","H","OC","VH",20384,1970
"10459_201404","Bronx","HousCond_[0,70]","L","VH","L","M","L","M","L","VL","M","H","M","M","H","OC","VH",20689,1390
"10460_201404","Bronx","HousCond_[0,70]","L","VH","L","H","M","L","MH","L","M","M","L","MH","H","OC","VH",20235,1590
"10461_201404","Bronx","HousCond_[0,70]","MH","M","M","VH","VH","M","MH","VL","VH","L","MH","M","MH","OC","VH",37438,1290
"10462_201404","Bronx","HousCond_[0,70]","MH","VH","M","VH","H","M","L","M","H","L","MH","MH","M","VH","M",31841,2130
"10463_201404","Bronx","HousCond_[350,1789]","H","VH","L","H","VH","M","MH","L","VH","H","MH","MH","M","VH","M",38138,1860
"10464_201404","Bronx","HousCond_[0,70]","L","L","VL","M","L","VL","L","VL","VH","VL","L","L","L","M","ML",57895,130
"10465_201404","Bronx","HousCond_[0,70]","H","H","VL","VH","VH","L","MH","M","H","M","MH","VL","MH","VH","M",44034,1260
"10466_201404","Bronx","HousCond_[0,70]","MH","VH","L","VH","H","L","MH","L","H","L","H","MH","MH","VH","H",27331,1860
"10467_201404","Bronx","HousCond_[0,70]","MH","VH","M","VH","VH","H","M","M","H","H","H","MH","H","OC","VH",23785,2470
"10468_201404","Bronx","HousCond_[0,70]","MH","VH","M","H","M","L","M","M","M","H","M","MH","M","VH","H",20703,2020
"10469_201404","Bronx","HousCond_[0,70]","M","H","M","VH","H","L","H","M","VH","L","H","MH","H","OC","H",31295,1730
"10470_201404","Bronx","HousCond_[0,70]","L","L","VL","M","L","L","L","VL","L","L","L","L","L","M","ML",35349,400
"10471_201404","Bronx","HousCond_[0,70]","L","L","L","L","M","VL","L","M","M","VL","M","L","L","M","ML",63622,370
"10472_201404","Bronx","HousCond_[0,70]","M","VH","M","H","L","L","M","L","M","M","L","MH","H","OC","VH",21217,1640
"10473_201404","Bronx","HousCond_[0,70]","M","H","M","H","L","VL","M","L","M","L","M","MH","H","OC","VH",27374,1830
"10474_201404","Bronx","HousCond_[0,70]","L","M","VL","L","L","VL","L","VL","L","L","L","VL","H","OC","H",20302,330
"10475_201404","Bronx","HousCond_[0,70]","L","L","L","M","M","VL","M","VL","L","VL","L","L","M","H","ML",39616,980
"11004_201404","Queens","HousCond_[0,70]","M","L","VL","L","L","VL","L","L","L","VL","L","VL","L","M","ML",50350,260
"11101_201404","Queens","HousCond_[0,70]","MH","H","H","VH","VH","H","H","H","H","M","MH","VL","H","OC","VH",40503,990
"11102_201404","Queens","HousCond_[0,70]","M","M","L","VH","M","M","M","M","H","M","M","L","M","H","M",35744,1020
"11103_201404","Queens","HousCond_[0,70]","MH","M","M","VH","M","H","M","L","M","L","M","L","L","M","ML",37657,1070
"11104_201404","Queens","HousCond_[0,70]","M","M","L","M","L","M","H","L","L","VL","L","M","MH","H","M",37677,800
"11105_201404","Queens","HousCond_[0,70]","H","M","L","H","H","L","M","L","H","L","MH","M","M","M","M",40599,1110
"11106_201404","Queens","HousCond_[0,70]","L","H","L","H","L","H","M","M","M","L","M","M","M","H","M",37636,1190
"11201_201404","Brooklyn","HousCond_[0,70]","H","H","H","VH","VH","H","H","H","VH","H","M","L","H","OC","VH",79339,1310
"11203_201404","Brooklyn","HousCond_[0,70]","MH","H","M","VH","VH","L","H","L","VH","M","H","MH","H","OC","VH",28722,2230
"11204_201404","Brooklyn","HousCond_[0,70]","MH","H","L","VH","H","L","MH","M","VH","M","MH","M","MH","VH","H",24142,1450
"11205_201404","Brooklyn","HousCond_[0,70]","M","H","L","VH","H","H","H","H","H","H","MH","M","MH","VH","H",34790,970
"11206_201404","Brooklyn","HousCond_[0,70]","M","VH","H","VH","M","H","H","H","VH","H","MH","M","M","H","M",23995,2140
"11207_201404","Brooklyn","HousCond_[0,70]","MH","VH","M","VH","VH","M","H","L","VH","M","H","M","H","OC","VH",22369,2720
"11208_201404","Brooklyn","HousCond_[0,70]","MH","VH","M","VH","VH","M","H","M","VH","H","MH","M","H","OC","VH",21726,2650
"11209_201404","Brooklyn","HousCond_[0,70]","MH","H","M","VH","VH","H","MH","M","VH","M","H","MH","MH","VH","H",45591,1520
"11210_201404","Brooklyn","HousCond_[0,70]","MH","H","M","VH","VH","L","MH","M","VH","L","MH","M","M","H","M",32819,1660
"11211_201404","Brooklyn","HousCond_[0,70]","MH","VH","H","H","VH","H","MH","H","VH","H","H","L","H","OC","VH",39800,1450
"11212_201404","Brooklyn","HousCond_[0,70]","M","VH","M","H","H","L","MH","L","VH","M","M","MH","M","H","M",22186,2590
"11213_201404","Brooklyn","HousCond_[0,70]","L","VH","L","H","L","M","M","L","VH","M","M","MH","L","M","ML",24931,1790
