"ZIP","0_25000","25000_50000","50000_75000","75000_100000","100000_200000","200000_","nbrReturns","medianInc","jl_benef"
10001,"4409","2740","1789","1161","1758","1345","13202","45000",1194
10002,"26652","8984","3867","2001","2257","957","44718","20973",3698
10003,"6876","5340","4453","3009","5216","4641","29535","64327",2402
10004,"342","301","240","209","419","591","2102","95096",123
10005,"920","879","722","500","1060","1200","5281","80950",282
10006,"385","408","291","259","491","442","2276","80212",139
10007,"608","387","297","228","654","1417","3591","142202",233
10009,"11454","7720","4917","2712","3517","1267","31587","39054",3244
10010,"3443","2946","2581","1926","3351","2861","17108","70971",1316
10011,"6855","5203","4245","3144","5851","5371","30669","69293",2603
10012,"3484","2518","1864","1237","2191","1888","13182","57900",941
10013,"7060","2444","1443","976","1652","2895","16470","37019",1070
10014,"4115","3162","2666","2090","3972","3362","19367","72571",1513
10016,"6370","5757","4963","3374","5778","4867","31109","67263",2177
10017,"5012","2100","1715","1237","2347","2518","14929","55131",708
10018,"1730","1340","707","481","840","838","5936","48097",376
10019,"6016","4748","3378","2378","4230","3544","24294","60235",2192
10021,"4686","3655","3444","2592","4551","5965","24893","81375",1597
10022,"3652","3073","2548","1951","3967","4997","20188","85520",1238
10023,"7426","4952","4383","3329","6869","7581","34540","78822",2795
10024,"7377","4988","3956","3000","5434","6754","31509","71417",2622
10025,"15332","9953","6428","3930","6771","5420","47834","46564",4380
10026,"8214","5053","2077","1011","1144","508","18007","28909",2074
10027,"13116","7169","2767","1310","1567","660","26589","25621",2802
10028,"5153","4407","3874","2656","4482","5102","25674","71147",1806
10029,"17047","9754","3432","1207","997","440","32877","24107",3621
10030,"6610","3917","1310","507","370","101","12815","24236",1614
10031,"16785","8687","2543","924","722","156","29817","22204",3362
10032,"16862","10736","2599","1030","796","146","32169","23847",3424
10033,"14756","9326","2612","1206","1268","311","29479","24973",3366
10034,"10834","6397","2204","1034","890","138","21497","24802",2537
10035,"7521","3855","1450","638","516","126","14106","23444",1682
10036,"5829","4242","2420","1586","2597","2044","18718","45804",1856
10037,"3936","2985","1639","686","495","66","9807","33107",1077
10038,"4036","2167","1447","886","1483","940","10959","41659",896
10039,"6556","3771","1401","567","417","64","12776","24359",1480
10040,"11300","7028","2258","884","849","171","22490","24878",2629
10044,"1309","935","637","460","716","270","4327","47861",385
10065,"2873","2628","2139","1567","2820","3444","15471","76532",1026
10069,"341","288","229","191","519","943","2511","139884",184
10075,"2644","2194","2033","1466","2352","2984","13673","74570",1018
10128,"7422","5690","4906","3223","5407","5988","32636","66337",2479
10162,"107","70","62","77","166","235","717","125301",52
10280,"546","462","425","434","1038","820","3725","99712",346
10282,"290","187","202","176","501","993","2349","163673",130
10301,"6154","4006","2462","1601","1913","591","16727","38792",1573
10302,"3048","1653","1060","684","745","74","7264","33832",746
10303,"4872","2865","1587","997","859","43","11223","31457",1191
10304,"7681","4358","2330","1401","1803","628","18201","33140",1825
10305,"6453","4236","2857","2057","2398","380","18381","41153",2044
10306,"8428","5336","3976","3091","4534","790","26155","46786",2913
10307,"1832","1039","879","696","1245","328","6019","53953",679
10308,"3743","2317","2003","1704","2623","403","12793","54194",1493
10309,"4082","2531","2082","1688","2887","646","13916","54143",1677
10310,"3973","2305","1424","1017","1436","253","10408","38351",1018
10312,"7833","5096","4248","3574","5684","1074","27509","54855",3199
10314,"12518","8084","5953","4613","6458","1069","38695","46122",4186
10451,"11676","6511","2087","692","352","23","21341","22846",2421
10452,"21443","12117","2348","608","257","0","36773","21436",3916
10453,"23103","12757","2240","623","249","0","38972","21086",4080
10454,"9035","3917","859","228","137","0","14176","19613",1679
10455,"9914","4775","997","291","128","0","16105","20305",2057
10456,"23837","10602","2360","597","264","0","37660","19749",4333
10457,"19198","9124","2149","548","258","0","31277","20364",3322
10458,"18907","10316","2473","844","387","0","32927","21770",3385
10459,"11976","6300","1402","445","208","0","20331","21222",2430
10460,"14028","7667","1725","586","261","0","24267","21625",2704
10461,"8484","6410","3523","2007","1767","202","22393","35577",2316
10462,"15397","11923","5768","2451","1437","95","37071","31582",3910
10463,"12562","8530","4583","2668","3153","926","32422","35695",3258
10464,"605","432","350","224","396","89","2096","50786",194
10465,"6318","5034","3285","2009","2345","312","19303","41557",2153
10466,"14474","9336","3788","1676","1217","56","30547","27142",3226
10467,"21093","13296","4588","1703","1037","43","41760","24748",4406
10468,"20242","12385","2807","999","489","34","36956","22821",3430
10469,"12997","8610","4245","2128","1907","161","30048","30886",2988
10470,"2735","2337","1119","590","570","58","7409","35366",684
10471,"2657","2142","1664","1214","1698","765","10140","54072",850
10472,"15208","8131","2322","745","451","24","26881","22094",2967
10473,"12433","8319","3489","1548","1072","52","26913","28074",3254
10474,"2802","1368","308","86","38","0","4602","20530",532
10475,"6994","6786","4233","2066","1130","40","21249","38373",1957
10533,"901","439","416","332","706","839","3633","79518",261
10543,"3017","1663","1264","836","1525","1187","9492","51305",788
10550,"7984","5738","2113","928","657","44","17464","28259",2080
10573,"7176","4423","2071","1101","1916","1316","18003","35321",1594
10603,"2768","2088","1472","1039","1500","492","9359","47893",854
10606,"3249","1864","914","525","902","466","7920","34536",615
10701,"12016","7287","3565","1849","2107","338","27162","30369",3297
10705,"7848","4869","2148","1079","1216","249","17409","29395",1924
10801,"6894","5267","2370","1365","1940","614","18450","36064",2037
10803,"1493","824","671","493","1008","1359","5848","72615",415
10921,"638","382","298","257","380","76","2031","49738",196
10977,"11110","5783","2471","1484","2141","499","23488","27741",1809
11001,"3806","2494","1926","1516","2729","731","13202","53907",1155
11003,"7974","5756","3349","2067","2226","190","21562","37192",2053
11004,"2026","1376","1096","806","1090","147","6541","47602",557
11005,"276","204","240","188","343","132","1383","72083",44
11010,"3575","2401","1861","1454","2290","341","11922","49844",1204
11021,"2409","1339","1250","920","1780","1438","9136","66400",567
11030,"1994","883","737","600","1620","2827","8661","107160",436
11040,"5674","3549","2841","2212","4466","1348","20090","57233",1493
11096,"1783","983","439","228","209","0","3642","25966",414
11101,"6034","3261","1585","776","1011","449","13116","29017",1484
11102,"8296","7163","2575","1140","1073","153","20400","31645",1893
11103,"8802","5583","2951","1363","1100","160","19959","30275",2036
11104,"6391","3746","2217","1053","1034","146","14587","31026",1590
11105,"7626","5169","3076","1473","1486","261","19091","34286",2085
11106,"9076","5758","3193","1484","1244","189","20944","31061",2194
11109,"262","260","371","278","536","269","1976","83543",133
11201,"7197","5196","4260","2958","5179","3836","28626","61268",2471
11203,"16334","11218","4599","2042","1408","89","35690","28367",3802
11204,"15954","7006","3340","1735","1736","483","30254","23704",2957
11205,"7392","4243","2198","1114","1290","366","16603","30362",1827
11206,"19222","9008","2953","957","613","116","32869","21374",3964
11207,"22462","11639","3893","1400","656","50","40100","22315",4756
