"ZIP","offCat"
"10474","MISDEMEANOR"
"11232","VIOLATION"
"10065","FELONY"
"11385","FELONY"
"11201","MISDEMEANOR"
"10306","FELONY"
"11233","FELONY"
"11233","FELONY"
"11106","VIOLATION"
"11365","VIOLATION"
"11208","VIOLATION"
"11224","MISDEMEANOR"
"10036","FELONY"
"10027","MISDEMEANOR"
"11233","VIOLATION"
"11378","MISDEMEANOR"
"11378","MISDEMEANOR"
"11378","MISDEMEANOR"
"11378","MISDEMEANOR"
"11378","MISDEMEANOR"
"11378","MISDEMEANOR"
"11378","MISDEMEANOR"
"11378","MISDEMEANOR"
"11378","MISDEMEANOR"
"11378","MISDEMEANOR"
"11378","MISDEMEANOR"
"11378","MISDEMEANOR"
"11379","MISDEMEANOR"
"11378","MISDEMEANOR"
"11378","MISDEMEANOR"
"11378","MISDEMEANOR"
"11378","MISDEMEANOR"
"10314","MISDEMEANOR"
"10314","MISDEMEANOR"
"10314","MISDEMEANOR"
"10473","MISDEMEANOR"
"10010","MISDEMEANOR"
"10035","MISDEMEANOR"
"10035","MISDEMEANOR"
"10029","MISDEMEANOR"
"10035","MISDEMEANOR"
"10029","MISDEMEANOR"
"10035","MISDEMEANOR"
"10035","MISDEMEANOR"
"10029","MISDEMEANOR"
"11435","VIOLATION"
"00083","FELONY"
"10455","FELONY"
"10035","MISDEMEANOR"
"10035","MISDEMEANOR"
"10035","MISDEMEANOR"
"10035","MISDEMEANOR"
"10029","MISDEMEANOR"
"10035","MISDEMEANOR"
"10035","MISDEMEANOR"
"10035","MISDEMEANOR"
"11215","VIOLATION"
"10019","FELONY"
"11215","FELONY"
"11692","VIOLATION"
"10027","MISDEMEANOR"
"11106","MISDEMEANOR"
"10022","MISDEMEANOR"
"10032","FELONY"
"10314","MISDEMEANOR"
"10302","MISDEMEANOR"
"10314","MISDEMEANOR"
"10302","MISDEMEANOR"
"11234","FELONY"
"11206","VIOLATION"
"10036","MISDEMEANOR"
"10065","MISDEMEANOR"
"11414","MISDEMEANOR"
"11226","FELONY"
"11223","MISDEMEANOR"
"11418","MISDEMEANOR"
"11418","MISDEMEANOR"
"11418","MISDEMEANOR"
"11223","MISDEMEANOR"
"10016","MISDEMEANOR"
"10023","FELONY"
"10006","FELONY"
"11432","FELONY"
"11415","MISDEMEANOR"
"11211","MISDEMEANOR"
"10314","MISDEMEANOR"
"10314","MISDEMEANOR"
"10036","VIOLATION"
"11433","FELONY"
"10309","FELONY"
"11379","MISDEMEANOR"
"11385","MISDEMEANOR"
"11385","MISDEMEANOR"
"10040","MISDEMEANOR"
"11203","FELONY"
"11231","MISDEMEANOR"
"10035","MISDEMEANOR"
"10035","MISDEMEANOR"
"10035","MISDEMEANOR"
"10035","MISDEMEANOR"
"10035","MISDEMEANOR"
"10035","MISDEMEANOR"
"10035","MISDEMEANOR"
