"ZIP","Borough","HousCond","Sani","NoiseResid","NoiseConst","NoiseBiz","UrbInf","Traffic","NoiseTraf","WaterSyst","ConsumProt","SocServ","IAO","EnvProt"
"10467","Bronx","11","36","306","6","38","111","137","53","24","16","19","25","50"
"10468","Bronx","5","20","318","6","5","42","58","32","27","16","19","25","26"
"10469","Bronx","7","66","95","7","5","66","113","10","45","19","13","18","55"
"10470","Bronx","1","9","22","1","6","30","54","7","11","2","3","10","15"
"10471","Bronx","3","20","13","9","3","40","21","1","14","6","3","14","17"
"10472","Bronx","12","31","131","3","8","32","60","15","24","15","13","21","16"
"10473","Bronx","4","24","78","4","1","32","71","8","23","19","13","19","19"
"10474","Bronx","1","10","47","0","1","12","13","5","10","2","1","4","5"
"10475","Bronx","5","14","10","1","0","54","46","0","27","11","5","12","4"
"11004","Queens","0","9","9","2","2","15","10","0","13","2","2","19","6"
"11101","Queens","6","50","91","24","29","106","138","15","45","25","2","33","28"
"11102","Queens","5","33","60","8","21","51","97","14","27","10","5","22","24"
"11103","Queens","9","29","46","3","76","49","101","8","21","23","5","33","23"
"11104","Queens","9","14","45","4","11","31","26","4","46","8","9","19","16"
"11105","Queens","2","48","48","4","6","75","67","8","21","13","8","39","35"
"11106","Queens","6","28","63","7","47","25","65","8","21","12","10","14","21"
"11109","Queens","0","1","0","1","6","2","5","0","0","1","0","0","1"
"11201","Brooklyn","31","67","90","125","30","142","96","29","54","52","6","42","25"
"11202","Brooklyn","0","0","0","0","0","0","0","0","0","1","0","0","0"
"11203","Brooklyn","15","122","108","5","8","116","138","15","70","15","14","31","46"
"11204","Brooklyn","10","58","84","12","5","71","160","17","41","12","10","32","31"
"11205","Brooklyn","10","47","75","22","69","63","100","26","62","7","7","16","34"
"11206","Brooklyn","16","79","220","37","114","45","103","42","45","29","7","20","32"
"11207","Brooklyn","10","89","197","5","21","131","120","16","51","23","10","30","44"
"11208","Brooklyn","12","128","133","9","10","99","165","47","65","14","11","32","35"
