"ZIP","0_25000","25000_50000","50000_75000","75000_100000","100000_200000","200000_","nbrReturns","medianInc","jl_benef"
"00000","3553130","2091460","1274200","817760","1233950","521240","9491740","39257",321780
"10001","3760","2430","1930","1340","2480","2370","14310","62500",420
"10002","22380","8260","4690","2690","3530","1640","43190","24123",1060
"10003","5320","4020","4340","3340","6580","6450","30050","85067",650
"10004","340","260","290","200","520","880","2490","129808",50
"10005","750","750","910","660","1360","1730","6160","100735",100
"10006","300","320","360","260","650","540","2430","97596",40
"10007","440","280","230","220","570","1590","3330","186842",60
"10009","10130","6860","5800","3710","5100","2110","33710","49508",1030
"10010","2650","2430","2570","1950","3950","3930","17480","88974",350
"10011","5130","3630","3770","3260","6970","7540","30300","95092",780
"10012","2490","1840","1740","1420","2790","2580","12860","81338",270
"10013","4530","2070","1570","1140","2040","3740","15090","65048",240
"10014","2880","2250","2460","2110","4620","4790","19110","98282",470
"10016","4970","4780","5220","3880","7210","6370","32430","83022",610
"10017","1850","1450","1530","1290","2840","3320","12280","100704",240
"10018","1460","1060","800","640","1220","1290","6470","72344",140
"10019","5010","3680","3380","2570","5270","4940","24850","78453",790
"10021","3660","2840","3190","2520","4970","7000","24180","98810",420
"10022","2880","2120","2440","2100","4630","6060","20230","112419",380
"10023","5970","3840","3800","3320","7350","9820","34100","101633",840
"10024","6030","3750","3610","2840","6280","8590","31100","94014",730
"10025","12960","8230","6330","4180","7580","7460","46740","58610",1300
"10026","7380","4240","2520","1440","1840","980","18400","35731",680
"10027","11980","6610","3490","1770","2380","1280","27510","31713",890
"10028","4160","3160","3790","2930","5400","6430","25870","90572",510
"10029","17180","9220","4610","1820","1770","850","35450","26478",1190
"10030","6800","3670","1770","730","660","180","13810","25715",540
"10031","14490","7980","3800","1640","1430","390","29730","26175",1200
"10032","15190","7980","3620","1470","1400","310","29970","24663",1190
"10033","13370","6500","3240","1530","1910","620","27170","25827",1160
"10034","9900","4750","2760","1350","1470","290","20520","26895",880
"10035","7560","3750","1850","930","990","300","15380","25867",560
"10036","4460","3170","2510","2020","3710","2780","18650","66882",670
"10037","4120","2750","1910","1010","910","130","10830","36773",410
"10038","3490","1950","1660","1120","2210","1780","12210","60015",260
"10039","6670","3570","1750","750","680","160","13580","25840",500
"10040","10370","5310","2840","1360","1370","360","21610","27048",950
"10044","1180","750","620","450","850","460","4310","59073",110
"10065","2310","2110","2150","1680","3220","4460","15930","95759",240
"10069","370","220","220","180","560","1280","2830","175893",50
"10075","2200","1710","2030","1650","3070","3770","14430","94318",310
"10128","5910","4750","5000","3690","6410","7740","33500","82385",660
"10162","100","60","50","60","180","300","750","158333",0
"10280","520","400","430","450","1210","1340","4350","130992",130
"10282","220","120","140","110","390","1350","2330",NA,30
"10301","6630","3830","2600","1690","2480","850","18080","40731",520
"10302","3410","1750","1120","660","990","140","8070","33929",220
"10303","5400","2850","1630","1010","1210","100","12200","31140",370
"10304","8300","4130","2420","1470","2290","890","19500","33777",520
"10305","6770","4020","2820","2030","3010","590","19240","42724",660
"10306","8330","5050","3840","2950","5240","1300","26710","49876",900
"10307","1880","1020","860","640","1490","550","6440","59302",230
"10308","3820","2340","1950","1660","3080","720","13570","58013",490
"10309","4100","2550","2050","1630","3480","1090","14900","59756",570
"10310","4420","2350","1400","1030","1830","430","11460","38936",320
"10312","8070","5020","4060","3460","6890","1750","29250","59452",1100
"10314","12450","7950","5790","4650","7880","1810","40530","49575",1280
"10451","12670","6360","2560","1000","700","60","23350","23037",900
"10452","22230","9340","3330","960","500","30","36390","20462",1410
"10453","23970","9430","3030","880","560","0","37870","19749",1480
"10454","10000","4070","1260","330","230","20","15910","19888",560
"10455","10630","4830","1660","510","270","0","17900","21049",730
"10456","25320","10540","3190","950","520","20","40540","20014",1620
"10457","20850","8230","2670","800","460","30","33040","19808",1170
"10458","20400","8850","3360","1130","760","40","34540","21164",1200
"10459","12480","5840","1890","650","350","20","21230","21264",920
"10460","14970","6420","2210","770","480","30","24880","20775",1000
"10461","8690","6040","4130","2260","2530","330","23980","38659",810
"10462","16630","10840","6760","3060","2360","150","39800","32542",1340
"10463","12800","7360","5010","3130","4270","1440","34010","39283",1130
"10464","570","390","350","250","420","160","2140","57857",90
"10465","6330","4370","3280","2150","3060","530","19720","45195",720
"10466","15260","9320","4360","2090","1890","110","33030","28366",1040
"10467","22520","12310","5640","2140","1690","110","44410","24650",1440
"10468","20960","9050","3530","1320","840","50","35750","21320",1260
"10469","13790","8530","4760","2530","2690","300","32600","32356",950
"10470","2960","1840","1210","660","860","130","7660","36821",230
"10471","2360","1620","1530","1260","2060","1060","9890","65768",250
"10472","16550","7480","2890","1010","720","40","28690","21669",1010
"10473","12990","7670","3780","1790","1620","110","27960","28227",1180
"10474","3010","1380","470","130","70","0","5060","21013",190
"10475","7370","6360","4630","2400","1790","100","22650","40546",610
"10501","170","90","70","60","150","140","680","79167",0
"10502","700","280","250","240","640","730","2840","94792",60
"10504","1080","380","330","270","800","2560","5420","181250",90
"10505","190","100","50","40","100","120","600","55000",20
"10506","700","250","190","150","440","1050","2780","122727",50
"10507","890","490","330","200","440","360","2710","48724",80
"10509","3080","1710","1260","970","2110","850","9980","53968",280
"10510","1090","470","400","290","1020","1550","4820","115686",120
"10511","340","210","170","110","230","80","1140","52941",30
"10512","3420","2190","1760","1340","2880","900","12490","59020",400
"10514","1240","390","330","250","840","2380","5430","160119",70
"10516","700","420","330","280","650","340","2720","68182",80
"10518","180","70","70","50","160","170","700","90000",0
"10520","1600","950","750","580","1390","1150","6420","72000",170
"10522","1200","790","670","500","1100","940","5200","72761",140
"10523","1580","940","720","490","840","270","4840","47340",110
"10524","490","290","230","220","500","310","2040","76136",60
"10526","260","130","110","70","210","200","980","72727",30
"10527","100","50","30","30","120","100","430","104167",0
"10528","1550","940","770","530","980","1120","5890","64773",160
"10530","1420","1010","1020","870","1820","1020","7160","78736",200
"10532","630","410","320","250","700","300","2610","70703",70
"10533","840","420","380","340","770","1060","3810","94485",80
"10535","130","90","70","40","70","0","400","44444",0
"10536","1400","520","470","350","1000","1500","5240","91429",90
