"ZIP","Borough","HousCond","Sani","NoiseResid","NoiseConst","NoiseBiz","UrbInf","Traffic","NoiseTraf","WaterSyst","ConsumProt","SocServ","IAO","EnvProt","Violation","Misdemeanor","Felony","medianInc","jlBenef"
10301,"Staten Island",6,71,62,0,5,64,66,8,77,8,8,31,43,28,93,31,39562,910
10302,"Staten Island",0,31,26,3,1,35,23,2,33,4,3,10,13,4,25,13,32514,400
10303,"Staten Island",0,55,41,1,2,32,54,7,34,9,3,13,13,11,31,11,30249,660
10304,"Staten Island",5,55,65,3,19,77,52,3,65,3,0,19,36,22,73,24,33205,970
10305,"Staten Island",3,82,33,6,2,90,69,4,86,3,3,34,62,49,158,57,42462,1070
10306,"Staten Island",8,77,53,7,5,180,59,6,119,8,8,36,102,40,111,54,49248,1560
10307,"Staten Island",0,15,14,1,9,33,15,2,6,1,1,12,28,15,20,9,58642,380
10308,"Staten Island",3,40,16,0,3,79,26,3,36,3,1,21,55,7,20,12,56439,790
10309,"Staten Island",2,53,34,4,4,89,48,2,88,3,0,23,41,23,91,36,57735,910
10310,"Staten Island",3,40,45,3,4,51,25,10,25,3,4,18,27,36,141,43,38466,560
10312,"Staten Island",2,58,45,9,4,194,95,7,94,4,0,45,194,18,77,34,57629,1700
10314,"Staten Island",11,126,58,12,4,175,142,11,146,13,7,66,96,70,286,98,48289,2160
10451,"Bronx",11,10,135,7,31,41,28,19,20,20,11,25,14,49,242,107,22524,1450
10452,"Bronx",10,19,267,3,9,37,55,32,36,17,16,12,18,35,189,81,20000,2220
10453,"Bronx",6,24,260,4,13,35,69,16,26,13,20,11,24,38,250,82,19228,2430
10454,"Bronx",9,27,69,6,5,21,24,3,23,7,3,18,16,69,300,118,19165,970
10455,"Bronx",2,16,109,1,7,28,37,11,19,13,8,9,7,48,257,120,20284,1140
10456,"Bronx",14,28,229,8,6,21,61,20,18,18,17,13,20,72,327,103,19261,2540
10457,"Bronx",12,25,217,3,15,34,41,36,25,16,21,20,13,50,308,130,19279,1910
10458,"Bronx",9,37,341,6,20,37,36,33,16,34,17,22,22,77,446,194,20384,1970
10459,"Bronx",6,31,145,1,17,18,28,35,19,13,7,11,21,47,244,101,20689,1390
10460,"Bronx",5,24,180,5,7,34,55,13,32,10,12,11,10,89,519,204,20235,1590
10461,"Bronx",7,103,60,1,11,96,110,10,37,18,11,29,41,35,242,98,37438,1290
10462,"Bronx",10,44,156,6,13,83,104,10,16,23,18,32,36,20,130,31,31841,2130
10463,"Bronx",644,106,184,5,12,199,55,24,44,13,23,41,33,12,103,42,38138,1860
10464,"Bronx",0,57,10,1,2,21,37,0,8,1,3,4,11,3,30,8,57895,130
10465,"Bronx",3,52,63,6,4,116,115,15,43,3,1,46,40,32,108,45,44034,1260
10466,"Bronx",2,37,176,2,5,74,136,5,43,9,21,28,42,25,105,61,27331,1860
10467,"Bronx",11,36,306,6,38,111,137,53,24,16,19,25,50,43,234,97,23785,2470
10468,"Bronx",5,20,318,6,5,42,58,32,27,16,19,25,26,20,164,60,20703,2020
10469,"Bronx",7,66,95,7,5,66,113,10,45,19,13,18,55,41,191,91,31295,1730
10470,"Bronx",1,9,22,1,6,30,54,7,11,2,3,10,15,3,12,9,35349,400
10471,"Bronx",3,20,13,9,3,40,21,1,14,6,3,14,17,6,23,5,63622,370
10472,"Bronx",12,31,131,3,8,32,60,15,24,15,13,21,16,45,208,94,21217,1640
10473,"Bronx",4,24,78,4,1,32,71,8,23,19,13,19,19,56,297,112,27374,1830
10474,"Bronx",1,10,47,0,1,12,13,5,10,2,1,4,5,44,197,70,20302,330
10475,"Bronx",5,14,10,1,0,54,46,0,27,11,5,12,4,9,38,15,39616,980
11004,"Queens",0,9,9,2,2,15,10,0,13,2,2,19,6,0,0,0,50350,260
11101,"Queens",6,50,91,24,29,106,138,15,45,25,2,33,28,48,199,125,40503,860
11102,"Queens",5,33,60,8,21,51,97,14,27,10,5,22,24,11,44,33,35744,1020
11103,"Queens",9,29,46,3,76,49,101,8,21,23,5,33,23,7,17,10,37657,1070
11104,"Queens",9,14,45,4,11,31,26,4,46,8,9,19,16,21,87,34,37677,800
11105,"Queens",2,48,48,4,6,75,67,8,21,13,8,39,35,12,33,22,40599,1110
11106,"Queens",6,28,63,7,47,25,65,8,21,12,10,14,21,20,62,28,37636,1190
11109,"Queens",0,1,0,1,6,2,5,0,0,1,0,0,1,0,3,2,114286,130
11201,"Brooklyn",31,67,90,125,30,142,96,29,54,52,6,42,25,44,205,103,79339,1310
