"ZIP","Borough","HousCond","IAO","NoiseResid","ConsumProt","Traffic","UrbInf","NoiseBiz","WaterSyst","NoiseConst","Sani","NoiseTraf","EnvProt","SocServ","Violation","Misdemeanor","Felony","medianInc","jlBenef"
"11105","Queens","85","18","62","19","60","122","10","46","0","56","5","36","4","9","35","12","34286","2085"
"11106","Queens","156","20","80","17","45","143","66","28","5","51","9","26","5","12","54","21","31061","2194"
"11109","Queens","1","0","1","0","2","1","0","0","1","1","0","0","0","2","1","1","83543","133"
"11201","Brooklyn","171","39","82","47","67","318","12","43","61","87","19","25","10","63","199","82","61268","2471"
"11203","Brooklyn","749","27","114","14","101","206","22","33","2","89","11","54","45","63","244","172","28367","3802"
"11204","Brooklyn","238","39","85","11","89","282","3","45","4","97","14","63","13","23","138","59","23704","2957"
"11205","Brooklyn","265","22","64","22","28","135","7","22","5","63","5","21","8","20","127","70","30362","1827"
"11206","Brooklyn","416","37","189","26","55","167","42","64","9","119","26","31","46","17","59","33","21374","3964"
"11207","Brooklyn","1045","43","171","32","87","337","9","70","1","138","8","56","129","99","654","314","22315","4756"
"11208","Brooklyn","775","41","136","10","89","323","12","66","3","122","11","59","145","36","249","97","21802","4794"
"11209","Brooklyn","439","40","74","15","69","232","29","36","5","76","5","52","16","34","165","56","41833","3182"
"11210","Brooklyn","604","32","66","19","100","238","12","31","2","85","9","52","19","13","65","57","31271","2744"
"11211","Brooklyn","539","80","177","43","71","356","109","36","10","153","27","78","7","42","282","180","28602","3848"
"11212","Brooklyn","724","24","149","21","63","174","6","30","2","68","11","19","130","7","39","27","22489","4390"
"11213","Brooklyn","951","26","155","7","34","230","5","29","3","94","5","36","61","5","18","3","23398","3051"
"11214","Brooklyn","603","62","69","20","103","348","9","70","5","175","3","35","19","51","219","87","25688","4059"
"11215","Brooklyn","239","61","102","36","55","297","31","34","17","110","16","94","7","28","174","80","48671","3263"
"11216","Brooklyn","536","30","113","27","41","185","9","29","1","106","13","40","60","96","462","189","25289","3042"
"11217","Brooklyn","120","38","83","24","42","172","60","29","13","84","9","40","9","26","174","63","46486","1996"
"11218","Brooklyn","450","19","89","20","98","310","10","35","6","110","7","67","20","8","35","24","28170","2816"
"11219","Brooklyn","511","51","34","9","79","360","4","69","7","100","4","60","14","10","54","21","19435","2133"
"11220","Brooklyn","425","50","83","25","90","291","19","53","11","108","14","40","11","42","248","117","18070","3457"
"11221","Brooklyn","1059","41","132","10","88","236","6","49","4","145","23","50","99","85","362","223","22421","4093"
"11222","Brooklyn","326","34","61","22","23","163","36","43","13","98","6","29","4","11","70","37","34578","2743"
"11223","Brooklyn","271","56","67","13","109","318","15","54","5","121","6","70","18","20","155","63","25810","3027"
"11224","Brooklyn","207","20","79","10","17","138","5","28","1","55","5","15","12","56","302","107","24576","2232"
"11225","Brooklyn","1026","26","141","17","37","151","7","20","2","80","12","29","24","21","158","60","27710","3151"
"11226","Brooklyn","1789","35","263","19","101","230","25","53","6","92","14","44","79","52","318","211","24048","5425"
"11228","Brooklyn","60","43","21","2","64","203","0","31","2","57","2","49","1","42","109","55","34916","1737"
"11229","Brooklyn","359","49","106","12","125","322","12","155","4","104","4","92","14","46","193","86","33407","3434"
"11230","Brooklyn","624","48","95","14","134","390","3","48","20","103","6","62","23","16","97","57","28377","2809"
"11231","Brooklyn","128","31","48","19","27","206","6","24","13","67","14","33","4","32","128","53","45892","1960"
"11232","Brooklyn","188","20","37","10","28","198","5","14","0","39","5","21","5","17","136","88","23020","1092"
"11233","Brooklyn","1166","32","108","15","49","242","7","40","2","117","26","33","138","146","822","335","24132","3433"
"11234","Brooklyn","215","61","44","26","192","420","23","118","7","126","8","98","11","109","372","222","39585","4114"
"11235","Brooklyn","540","59","62","21","102","435","9","103","52","119","5","67","18","31","176","73","30584","3297"
"11236","Brooklyn","297","57","116","15","148","242","8","113","3","99","4","77","38","54","228","138","30810","4877"
"11237","Brooklyn","564","32","75","15","49","100","38","30","4","100","13","43","22","1","3","4","20665","2220"
"11238","Brooklyn","530","35","120","24","47","187","53","29","37","117","25","46","20","35","180","95","38846","3017"
"11239","Brooklyn","19","1","3","4","4","25","1","6","0","3","0","3","2","5","43","25","32222","689"
"11243","Brooklyn","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0",NA,NA
"11249","Brooklyn","10","1","2","1","0","31","5","11","7","15","0","5","0","28","138","68",NA,NA
"11354","Queens","137","39","35","18","73","301","5","49","2","72","6","26","18","19","57","25","22372","1685"
"11355","Queens","268","30","76","13","93","259","4","53","2","108","3","48","16","27","179","103","18754","2529"
"11356","Queens","82","19","11","5","62","136","2","52","1","38","6","23","1","13","39","23","27671","1075"
"11357","Queens","80","20","17","1","59","296","4","87","1","50","6","66","0","18","26","17","47213","1658"
"11358","Queens","131","31","41","10","44","147","5","72","3","71","1","61","0","5","35","22","35127","1398"
"11359","Queens","0","0","0","0","0","5","0","1","0","0","0","0","0","0","0","0",NA,NA
"11360","Queens","22","16","8","2","17","105","2","16","0","13","3","23","0","9","14","4","54824","791"
"11361","Queens","65","21","17","7","31","223","5","33","2","38","1","54","5","16","70","58","41020","1108"
"11362","Queens","58","15","2","1","10","129","0","33","0","13","1","31","0","4","13","13","48946","637"
"11363","Queens","8","5","2","0","8","65","0","16","3","12","0","23","0","0","4","2","54734","228"
"11364","Queens","57","14","6","5","29","208","1","79","0","24","5","58","8","1","19","15","43360","1367"
"11365","Queens","73","19","86","6","41","220","1","57","0","63","2","39","4","8","52","33","35625","1974"
"11366","Queens","23","17","8","3","24","117","1","20","0","26","0","30","1","14","47","22","38451","505"
"11367","Queens","203","26","33","13","37","133","3","32","3","72","2","46","5","10","35","29","34111","1549"
"11368","Queens","321","23","123","19","129","235","12","50","3","190","6","31","12","37","230","118","20961","3495"
"11369","Queens","166","15","53","44","53","124","6","28","0","86","2","30","6","10","57","15","24680","1491"
"11370","Queens","59","18","17","3","31","78","0","20","3","35","1","29","3","3","16","12","26869","1115"
"11371","Queens","0","0","0","0","0","3","0","0","0","0","0","0","0","2","24","14",NA,NA
"11372","Queens","334","36","106","44","40","117","48","84","7","84","8","28","20","30","188","76","24893","3111"
"11373","Queens","578","37","95","29","131","171","20","75","6","142","4","34","24","40","285","145","21179","3614"
"11374","Queens","176","24","38","15","42","113","3","13","1","32","5","28","9","18","57","18","37247","2135"
"11375","Queens","376","64","65","26","53","300","11","74","4","64","7","79","23","32","82","41","50840","3403"
"11377","Queens","245","27","127","28","113","378","25","133","9","120","4","50","6","25","180","74","23728","3763"
"11378","Queens","103","38","34","8","124","237","5","83","8","65","1","50","3","7","49","21","34326","1882"
"11379","Queens","53","21","27","1","69","214","1","35","2","38","6","52","2","27","109","57","42366","1914"
"11385","Queens","394","56","104","17","160","380","21","111","5","144","17","134","24","61","216","105","28041","5620"
"11411","Queens","34","16","7","0","15","111","0","35","0","36","0","40","6","3","23","22","37530","1003"
"11412","Queens","131","22","19","3","61","153","2","104","1","86","6","52","35","5","39","30","31320","1815"
"11413","Queens","121","37","31","9","57","239","1","119","1","54","3","68","30","1","26","15","34708","1870"
"11414","Queens","86","25","8","2","46","152","2","74","3","30","0","40","9","22","72","36","45105","1508"
"11415","Queens","138","9","16","2","20","79","19","27","1","21","4","16","7","5","20","17","41294","924"
"11416","Queens","122","19","35","5","42","64","7","24","1","52","4","24","17","32","107","66","24474","1333"
"11417","Queens","78","31","27","10","55","176","6","74","2","120","2","52","15","3","23","15","28449","1576"
"11418","Queens","231","33","53","14","90","199","15","68","0","79","10","46","38","22","93","45","25326","1679"
"11419","Queens","278","31","71","9","116","165","1","66","3","109","12","30","21","40","111","74","23058","2078"
"11420","Queens","223","33","40","8","73","314","6","69","1","97","4","66","25","17","52","47","28052","2133"
"11421","Queens","105","15","31","3","79","160","7","49","1","53","3","39","14","15","51","36","26032","2148"
"11422","Queens","87","18","15","3","41","172","4","58","0","63","3","45","29","21","92","43","35442","1576"
"11423","Queens","206","23","35","11","52","138","1","54","0","51","5","26","21","14","43","22","30158","1440"
"11426","Queens","64","22","7","0","9","99","0","31","2","25","1","42","0","4","22","17","42741","717"
"11427","Queens","94","8","19","0","24","131","0","49","1","20","0","30","4","2","26","13","37599","1046"
"11428","Queens","65","17","13","7","26","70","0","50","1","38","1","27","9","6","25","22","32951","957"
"11429","Queens","86","15","11","9","34","115","2","58","2","49","3","42","39","30","73","48","31555","1159"
"11430","Queens","2","4","0","39","2","75","0","0","0","0","0","0","0","8","22","12","42593","20"
"11432","Queens","299","28","57","26","61","248","8","83","4","95","1","60","18","23","69","44","25280","2179"
"11433","Queens","215","23","56","9","77","154","3","109","0","79","3","31","66","53","242","102","24332","1529"
"11434","Queens","223","36","28","14","84","295","4","140","0","89","4","75","43","75","382","235","31189","2971"
"11435","Queens","329","26","55","25","101","289","7","54","0","87","3","40","49","31","128","69","26259","2463"
"11436","Queens","104","7","19","1","48","111","1","36","0","32","4","18","29","6","29","16","28472","892"
"11691","Queens","415","23","50","9","32","341","0","155","0","97","5","50","83","40","150","69","25473","2163"
"11692","Queens","131","5","19","0","7","88","1","14","1","23","1","9","50","13","54","18","25292","891"
"11693","Queens","55","9","5","3","6","99","0","30","3","14","0","7","4","15","41","27","34858","717"
"11694","Queens","49","26","9","2","10","135","0","49","2","17","2","18","5","14","39","10","47927","873"
"11697","Queens","4","2","2","0","0","2","0","0","0","0","0","0","0","1","3","2","64674","161"
"99999","99999","606","2262","3","26","4","322","0","17","4","33","1","5","72","2","8","7",NA,NA
