"ZIP","Borough","MahaD12","MahaD23","MahaD13"
"11367","Queens","21.57","26.69","28.5"
"11368","Queens","22.37","20.24","32.82"
"11369","Queens","39.36","29.64","29.69"
"11370","Queens","47.36","21.76","26.02"
"11372","Queens","38.53","30.93","13.77"
"11373","Queens","26.24","43.17","15.64"
"11374","Queens","21.88","17.2","14.12"
"11375","Queens","20.03","18.18","10.9"
"11377","Queens","11.7","15.46","8.94"
"11378","Queens","6.89","15.59","13.13"
"11379","Queens","32.6","26.66","31.25"
"11385","Queens","18.11","32.18","27.53"
"11411","Queens","27.74","24.67","14.31"
"11412","Queens","34.14","30.17","25.69"
"11413","Queens","27.35","30.85","12.35"
"11414","Queens","28.55","28.3","14.79"
"11415","Queens","12.68","26.53","24.76"
"11416","Queens","32.24","14.69","26.94"
"11417","Queens","27.95","47.7","21.32"
"11418","Queens","44.64","48.79","23.88"
"11419","Queens","26.86","34.85","23.42"
"11420","Queens","23.43","21.14","29.53"
"11421","Queens","52.05","16.28","38.3"
"11422","Queens","22.05","21.26","21.9"
"11423","Queens","27.48","30.31","27.55"
"11426","Queens","15.29","23.16","20.1"
"11427","Queens","22.73","34.72","17.94"
"11428","Queens","52.6","26.5","28.73"
"11429","Queens","24.14","23.59","13.6"
"11432","Queens","20.61","37.95","26.34"
"11433","Queens","12.26","16.2","24.19"
"11434","Queens","24.66","17.48","6.75"
"11435","Queens","23.23","33.23","22.17"
"11436","Queens","23.24","35.09","19.78"
"11691","Queens","33.38","22.53","24.35"
"11692","Queens","20.72","8.06","20.98"
"11693","Queens","17.05","30.9","29.34"
"11694","Queens","15.69","25.06","16.72"
"11697","Queens","0","0","0"
