STATE	ZIP	N1	N2	A00100	N02300
AL	0	2027110	4125670	112912500	56720
AL	35004	5110	10390	280757	100
AL	35005	3260	6450	130927	120
AL	35006	1230	2640	59415	70
AL	35007	12170	25760	693284	290
AL	35010	8160	17020	378765	280
AL	35014	1610	3150	73119	60
AL	35016	7010	14310	357800	230
AL	35019	890	1930	37188	30
AL	35020	9570	19680	257275	240
AL	35022	9770	19160	546843	290
AL	35023	10280	20470	480938	400
AL	35031	2900	6590	119288	80
AL	35033	1320	2840	73565	50
AL	35034	1410	2950	52402	40
AL	35035	550	1160	38944	0
AL	35040	7470	15630	395026	170
AL	35042	2250	4850	103324	70
AL	35043	4800	10870	385879	70
AL	35044	3120	6220	128277	90
AL	35045	5550	12030	253673	160
AL	35046	2370	4970	124592	60
AL	35049	1530	3340	75930	50
AL	35051	3310	6960	201581	60
AL	35053	1040	2070	63356	30
AL	35054	1780	3550	148632	40
AL	35055	7910	16470	407757	180
AL	35057	5180	11200	269925	140
AL	35058	4290	9170	213169	90
AL	35061	650	1220	22576	20
AL	35062	3240	7070	173234	110
AL	35063	1210	2650	50561	40
AL	35064	4520	8410	152762	150
AL	35068	3720	7330	177414	90
AL	35071	7440	14850	451157	150
AL	35072	1780	3800	67575	70
AL	35073	970	1930	37297	30
AL	35077	5130	10690	218613	140
AL	35078	920	1840	44694	30
AL	35079	3440	7700	177685	120
AL	35080	7690	17060	542021	160
AL	35083	1200	2570	52465	40
AL	35085	3310	7280	146393	90
AL	35087	820	1770	31477	20
AL	35089	730	1470	23724	30
AL	35091	1180	2740	79161	40
AL	35094	6370	12840	340156	130
AL	35096	3350	6890	161070	100
AL	35097	770	1690	37602	0
AL	35098	550	1240	23554	20
AL	35111	6880	14340	437114	270
AL	35114	2970	6700	192629	70
AL	35115	5240	10680	230937	130
AL	35116	2000	4150	119978	50
AL	35117	2630	5450	163655	50
AL	35118	1320	2760	61287	70
AL	35120	5960	13000	311968	160
AL	35121	5860	13000	296087	150
AL	35124	11630	23310	901110	220
AL	35125	4470	9180	190269	120
AL	35126	9560	19030	507978	240
AL	35127	4360	8320	223319	150
AL	35128	4120	8350	240665	90
AL	35130	1210	2560	53830	70
AL	35131	1490	3210	61517	60
AL	35133	1540	3280	73577	40
AL	35135	790	1580	42427	30
AL	35136	690	1310	31388	20
AL	35143	1220	2380	61600	30
AL	35146	4420	9550	273763	90
AL	35147	2350	5120	163075	70
AL	35148	1100	2340	46834	20
AL	35150	7110	14470	298107	200
AL	35151	2940	5980	141947	90
AL	35160	9740	19400	384535	290
AL	35171	1360	3100	69961	40
AL	35172	1150	2500	47323	30
AL	35173	12310	26820	1025205	240
AL	35175	2130	4380	119496	80
AL	35176	330	690	14807	0
AL	35178	1390	2800	65035	40
AL	35179	3750	7930	185027	120
AL	35180	5720	12150	316052	180
AL	35183	280	560	13566	0
AL	35184	2100	4620	92078	80
AL	35186	2000	4320	131370	40
AL	35188	1160	2610	62281	50
AL	35203	1300	2060	129913	20
AL	35204	3720	7180	91059	110
AL	35205	8070	12110	421007	130
AL	35206	6680	12890	199517	210
AL	35207	3390	6850	84333	110
AL	35208	6080	11650	166896	180
AL	35209	12450	23920	1114476	200
AL	35210	6750	12420	391476	150
AL	35211	11270	21010	338108	290
AL	35212	4880	9780	162209	100
AL	35213	6700	12850	1467307	60
AL	35214	8330	15540	312482	240
AL	35215	20700	41840	695276	580
AL	35216	16820	33730	1455783	290
AL	35217	5140	10700	164860	120
AL	35218	2700	5230	66217	90
AL	35221	1880	3580	49679	60
AL	35222	3800	6520	307252	60
AL	35223	5540	11530	1863444	40
AL	35224	2250	4530	65824	60
AL	35226	16230	34050	1594509	240
AL	35228	4320	8380	124304	130
AL	35233	590	760	47368	0
AL	35234	2020	3890	48037	60
AL	35235	9230	17330	396640	210
AL	35242	25260	51770	3300440	390
AL	35243	9520	17850	1485737	130
AL	35244	16170	32940	1523048	300
AL	35401	10230	17260	326949	290
AL	35404	8120	14900	329999	210
AL	35405	18300	35000	866181	400
AL	35406	6600	13820	842890	90
AL	35441	440	890	17193	0
AL	35442	1910	3970	68910	80
AL	35443	690	1510	19698	40
AL	35444	1520	3300	75681	70
AL	35446	850	1780	38846	20
AL	35447	1260	2650	49189	40
AL	35452	1570	3390	76924	30
AL	35453	4800	10050	234750	140
AL	35456	1820	3720	80098	60
AL	35458	220	480	10299	0
AL	35459	340	670	11518	0
AL	35460	220	460	6443	0
AL	35461	690	1400	29773	0
AL	35462	1910	4020	62266	80
