STATE	ZIP	N1	N2	A00100	N02300
AL	35463	770	1580	34531	0
AL	35464	200	430	5548	0
AL	35466	2270	5030	111239	60
AL	35469	140	280	5025	0
AL	35470	1880	3570	76893	70
AL	35473	7130	13790	396856	130
AL	35474	2820	5960	131371	80
AL	35475	6680	14700	508310	120
AL	35476	3760	7740	146933	90
AL	35480	660	1380	34017	0
AL	35481	1300	2660	50716	30
AL	35490	1760	4110	100103	70
AL	35501	3920	8610	163423	120
AL	35503	3340	7060	158078	140
AL	35504	5090	10880	310128	140
AL	35540	920	1900	38153	40
AL	35541	1250	2590	70869	40
AL	35542	420	930	17639	20
AL	35543	380	800	13909	20
AL	35544	240	480	8999	0
AL	35546	1460	3210	66234	70
AL	35548	560	1130	18908	60
AL	35549	1350	2750	51140	60
AL	35550	1890	4070	85180	70
AL	35552	350	770	14349	20
AL	35553	1700	3550	70481	120
AL	35554	430	950	19560	30
AL	35555	3730	7800	162521	120
AL	35563	1530	3280	69614	70
AL	35564	770	1620	28424	60
AL	35565	4750	10230	200276	300
AL	35570	3920	8250	159157	210
AL	35571	330	710	12331	30
AL	35572	360	740	15727	0
AL	35574	550	1140	24907	0
AL	35575	360	750	14994	30
AL	35576	1150	2480	52708	40
AL	35578	1840	4010	74565	110
AL	35579	1150	2440	50167	40
AL	35580	1480	3180	66823	70
AL	35581	1920	4140	71403	120
AL	35582	1660	3370	88857	50
AL	35585	590	1280	26429	30
AL	35586	1580	3400	65060	70
AL	35587	320	650	13798	0
AL	35592	1670	3670	70463	50
AL	35593	660	1340	27209	40
AL	35594	2830	6090	138365	140
AL	35601	14070	30220	623323	490
AL	35603	13940	28060	868871	390
AL	35610	750	1620	34010	50
AL	35611	10300	21250	470574	310
AL	35613	8790	18840	671083	230
AL	35614	3050	6430	130447	90
AL	35616	1440	3050	64390	70
AL	35618	760	1430	29617	40
AL	35619	2100	4370	94452	70
AL	35620	3700	7840	176356	100
AL	35621	1170	2560	53475	40
AL	35622	2660	5760	117578	90
AL	35630	12720	22700	549646	480
AL	35633	8570	17490	436112	420
AL	35634	4430	9060	343060	190
AL	35640	10640	22370	570559	340
AL	35643	1280	2540	51964	60
AL	35645	5660	11740	364203	260
AL	35646	1790	3540	77628	90
AL	35647	430	940	19315	0
AL	35648	1500	3120	70007	90
AL	35650	5450	11320	248382	210
AL	35651	430	950	19151	0
AL	35652	3310	6740	173974	190
AL	35653	4740	11570	193937	190
AL	35654	3120	7110	121076	130
AL	35660	3830	7070	146704	170
AL	35661	7750	15490	461134	320
AL	35670	3120	6540	152367	120
AL	35671	910	2060	42668	30
AL	35672	2470	5120	110936	140
AL	35673	3440	7710	170803	140
AL	35674	7770	15630	391101	330
AL	35677	740	1500	31581	50
AL	35739	2110	4470	104347	60
AL	35740	1360	2780	56842	80
AL	35741	1460	2890	150456	30
AL	35744	920	1950	34890	60
AL	35746	350	720	12873	40
AL	35747	2350	4860	121902	100
AL	35748	3010	6300	236441	90
AL	35749	10920	22920	735417	300
AL	35750	5840	12170	292540	160
AL	35752	840	1680	35640	70
AL	35754	2140	4700	106300	50
AL	35755	270	500	13192	0
AL	35756	6810	15250	553765	170
AL	35757	7070	14800	528668	160
AL	35758	20930	43240	1835120	450
AL	35759	3850	7960	254067	100
AL	35760	2060	4200	98979	90
AL	35761	5100	10750	304309	120
AL	35763	7520	17190	789615	110
AL	35764	240	460	8765	0
AL	35765	1460	3090	59361	100
AL	35768	4790	9530	224690	290
AL	35769	4150	8360	273078	210
AL	35771	1370	2890	55623	90
AL	35772	1870	3890	75681	140
AL	35773	5400	11210	275048	170
AL	35775	270	640	10976	0
AL	35776	1390	2870	59086	90
AL	35801	10120	18350	1166347	190
AL	35802	11130	20120	971093	200
AL	35803	13060	25440	969360	280
AL	35805	8870	18770	223575	260
AL	35806	10890	19360	766288	230
AL	35808	410	990	34414	0
AL	35810	13530	25450	446274	450
AL	35811	12510	24560	738151	300
AL	35816	5870	10130	158992	210
AL	35824	3850	7170	306240	100
AL	35901	7420	14710	411287	220
AL	35903	7210	14370	273972	200
AL	35904	5210	10600	195438	160
AL	35905	2660	5390	129592	70
AL	35906	4490	8890	233230	120
AL	35907	3750	7900	231273	70
AL	35950	8910	21610	341676	180
AL	35951	5030	11350	187651	120
AL	35952	2670	5940	107176	60
AL	35953	2960	6220	137425	80
AL	35954	4700	9770	174980	160
AL	35956	3390	7190	144247	80
AL	35957	6400	14330	256966	160
AL	35958	1170	2410	48227	80
AL	35959	1730	3570	75733	100
AL	35960	3610	7440	168485	210
AL	35961	2250	5320	80094	90
AL	35962	2620	6230	99043	80
AL	35963	600	1340	22403	20
AL	35966	1310	2850	55775	90
AL	35967	6100	13400	260215	220
AL	35968	2230	4690	106193	100
AL	35971	1740	3650	72379	70
AL	35972	480	1040	22511	20
AL	35973	1000	2210	38101	80
AL	35974	740	1510	28296	0
AL	35975	370	790	15185	0
AL	35976	6970	13810	425840	190
AL	35978	2020	4260	83656	150
AL	35979	540	1200	20012	30
AL	35980	1810	4210	68345	40
AL	35981	810	1730	31634	50
AL	35983	1380	2890	64013	80
AL	35984	760	1460	36502	50
AL	35986	3090	6660	139248	120
AL	35987	960	2030	44684	30
AL	35988	680	1590	25747	40
AL	35989	1230	2720	54745	60
AL	36003	790	1520	31815	30
AL	36005	660	1320	27250	30
AL	36006	570	1260	26097	0
AL	36009	1040	2140	57009	60
AL	36010	2100	4180	75643	70
AL	36013	210	450	17782	0
AL	36016	1240	2440	44287	40
AL	36017	590	1420	18941	0
AL	36020	510	1080	19846	0
AL	36022	5650	12320	346047	90
AL	36024	2540	5020	140599	60
AL	36025	1630	3300	72708	40
AL	36026	400	750	25462	0
AL	36027	6120	12690	253728	190
AL	36028	710	1460	26133	60
AL	36029	390	730	21073	0
AL	36030	180	380	6620	0
AL	36032	1040	2300	35390	40
AL	36033	1540	3070	57694	100
AL	36034	310	630	12528	0
AL	36035	800	1630	34729	30
AL	36036	820	1580	31377	0
AL	36037	5550	11240	229872	210
AL	36039	100	230	2923	0
AL	36040	1600	3260	45855	60
AL	36041	570	1220	23316	20
AL	36042	550	1140	23752	0
AL	36043	1670	3400	84135	40
AL	36046	580	1150	26945	0
AL	36047	600	1200	24002	20
AL	36048	570	1190	19754	20
AL	36049	2260	4610	100282	70
AL	36051	930	1990	40538	30
AL	36052	400	790	35799	0
AL	36053	800	1520	25141	30
AL	36054	6630	13550	329849	150
AL	36064	4570	10300	429147	70
AL	36066	8770	17950	517809	130
AL	36067	11070	23250	572966	220
AL	36069	830	1510	37656	0
AL	36071	340	700	12443	0
AL	36075	860	1670	32822	20
AL	36078	5590	11540	267791	100
AL	36079	3600	7040	173254	110
AL	36080	1000	1940	61467	20
AL	36081	5810	10940	271483	160
AL	36083	3570	6550	115488	90
AL	36088	1060	1830	29577	20
AL	36089	2960	6060	94807	130
AL	36091	1510	3350	64569	40
AL	36092	8630	17560	418141	190
AL	36093	4870	10520	404552	90
AL	36104	2620	4990	97894	70
AL	36105	4660	9230	152519	120
AL	36106	6780	12290	491046	120
AL	36107	3240	6980	96797	80
AL	36108	7940	16080	219475	200
AL	36109	11350	21160	560831	250
AL	36110	4990	10210	129086	140
AL	36111	5750	11450	392675	110
AL	36113	350	970	21849	0
AL	36115	280	750	11829	0
AL	36116	18710	38180	748552	440
AL	36117	22460	43100	1592177	430
AL	36201	6620	13440	192036	220
AL	36203	8490	17980	415452	230
AL	36205	280	540	15064	0
AL	36206	4600	9080	180618	130
AL	36207	8270	16410	494966	220
AL	36250	2050	4250	105626	50
AL	36251	2040	4210	86318	60
AL	36255	350	710	28856	0
AL	36256	610	1250	25474	20
AL	36258	610	1300	26356	30
AL	36260	1640	3410	66478	60
AL	36262	510	1200	20996	40
AL	36263	260	610	11547	0
AL	36264	3410	7400	156153	140
AL	36265	7750	14900	359164	190
AL	36266	2200	4670	92543	60
AL	36268	2160	4590	95732	70
AL	36269	450	990	18426	30
AL	36271	2380	4990	114025	70
AL	36272	4770	9970	191232	190
AL	36273	1010	2250	49448	40
AL	36274	4310	8910	161348	140
AL	36276	840	1780	32246	30
AL	36277	2330	4770	97807	70
AL	36278	1840	3870	94187	40
AL	36279	1070	2180	45334	40
AL	36280	1370	3010	59815	40
AL	36301	15070	30530	655896	340
AL	36303	12970	26300	721674	260
AL	36305	6790	13850	564087	120
AL	36310	2440	4750	104387	50
AL	36311	1040	2220	47012	30
AL	36312	2370	4850	113268	80
AL	36314	250	550	9708	0
AL	36316	770	1580	40648	0
AL	36317	160	360	6410	0
AL	36318	470	980	23415	0
AL	36319	880	1840	44654	30
AL	36320	1340	2710	52797	40
AL	36321	740	1500	29285	0
AL	36322	3430	6780	142914	90
AL	36323	2960	5920	130996	90
AL	36330	15050	32000	842874	310
AL	36340	2060	4250	87532	60
AL	36343	580	1170	20516	20
AL	36344	2070	4300	90616	50
AL	36345	3490	7470	184861	80
AL	36346	550	1150	25491	0
AL	36350	2950	6170	137185	60
AL	36351	1430	3060	74807	40
AL	36352	2090	4430	110469	50
AL	36353	830	1710	35036	20
AL	36360	7730	15490	345535	200
AL	36362	1560	4190	75449	30
AL	36370	400	800	15775	0
AL	36373	210	430	6907	0
AL	36374	480	1040	23495	0
AL	36375	2750	5880	114465	60
AL	36376	880	1780	33699	30
AL	36401	2810	5860	108085	140
AL	36420	4550	9220	222691	300
AL	36421	3540	7360	192360	250
AL	36425	360	700	11290	20
AL	36426	5730	12070	253784	170
AL	36432	970	2020	35161	60
AL	36435	200	420	5446	0
AL	36436	190	410	7786	0
AL	36441	1420	3030	65033	50
AL	36442	1130	2340	43287	50
AL	36444	220	470	8622	0
AL	36445	1570	3520	63515	70
AL	36451	1910	4100	96379	110
AL	36453	870	1870	42764	30
AL	36456	720	1500	27516	70
AL	36460	3300	7180	164138	120
AL	36467	3780	7910	169964	230
AL	36471	390	830	13761	0
AL	36474	1120	2400	50567	90
AL	36475	720	1490	29245	40
AL	36477	1700	3700	73010	50
AL	36480	700	1490	34409	0
AL	36481	110	260	2647	0
AL	36482	400	840	12701	20
AL	36483	170	370	6390	0
AL	36502	6170	12890	251286	180
AL	36505	620	1360	30291	40
AL	36507	7930	16210	378112	230
AL	36509	830	1760	27294	50
AL	36511	420	870	14702	0
AL	36518	1060	2190	64356	40
AL	36521	1970	4350	98275	70
AL	36522	2830	6200	124246	160
AL	36523	1060	2200	47332	40
AL	36524	420	860	17011	30
AL	36525	820	1730	41495	30
AL	36526	14640	29350	1036334	310
AL	36527	6160	13290	556296	140
AL	36528	680	1220	48459	0
AL	36529	240	530	11238	0
AL	36530	3270	6120	198042	80
AL	36532	13420	26910	1077737	220
AL	36535	12140	23770	509820	300
AL	36538	150	300	5720	0
AL	36539	270	590	14454	0
AL	36540	370	860	12015	30
AL	36541	5850	12730	288177	210
AL	36542	6040	10730	350181	160
AL	36544	4490	9840	186067	190
AL	36545	3720	7820	181284	150
AL	36548	490	1020	26862	0
AL	36549	2140	3910	110152	50
AL	36551	3750	7680	199129	100
AL	36553	1280	2880	53771	110
AL	36555	570	1050	44430	0
AL	36558	1330	2940	71875	50
AL	36560	1380	2800	46865	80
AL	36561	3790	6620	288640	80
AL	36562	730	1570	31658	30
AL	36567	5740	11910	250992	130
AL	36569	310	680	15587	0
AL	36571	6840	14130	383618	190
AL	36572	2920	5940	175923	90
AL	36574	560	1110	27680	0
AL	36575	8420	17940	423918	230
AL	36576	1870	3800	89492	40
AL	36578	820	1700	44521	20
AL	36579	730	1380	38785	20
AL	36580	2410	5030	101461	60
AL	36582	10010	20610	469593	310
AL	36583	240	550	14168	0
AL	36584	270	570	12384	0
AL	36585	380	800	18563	0
AL	36587	4140	9540	200202	150
AL	36602	460	680	30197	0
AL	36603	2590	5120	65933	80
AL	36604	4020	7310	208034	110
AL	36605	11400	23020	379062	370
AL	36606	8360	15780	342580	260
AL	36607	2730	5240	154624	70
AL	36608	15480	29830	1169893	360
AL	36609	10720	20130	493337	290
AL	36610	4420	9030	94854	150
AL	36611	2360	4830	75969	90
AL	36612	1750	3510	41762	60
AL	36613	4860	9740	176770	150
AL	36617	5540	10630	145533	190
AL	36618	7660	15150	299785	240
AL	36619	6330	12940	349981	150
AL	36693	8730	16430	523267	220
AL	36695	21450	43430	1408017	510
AL	36701	9020	18480	362803	350
AL	36703	4410	9390	136133	200
AL	36720	320	720	7694	0
AL	36722	150	340	4977	0
AL	36726	1840	3940	81017	50
AL	36728	270	530	8867	0
AL	36732	3490	7310	171231	90
AL	36736	500	1080	17540	0
AL	36738	370	790	12591	0
AL	36740	480	950	15493	0
AL	36742	940	2010	46262	0
AL	36744	2620	5260	99207	60
AL	36748	1320	2680	60228	40
AL	36749	390	860	15216	20
AL	36750	1150	2550	52799	30
AL	36751	340	730	8385	20
AL	36752	730	1430	36384	20
AL	36754	100	240	3639	0
AL	36756	2070	4360	74020	80
AL	36758	500	1070	20948	0
AL	36759	590	1200	20199	20
AL	36761	390	810	13969	30
AL	36765	490	1020	14435	0
AL	36767	730	1570	21448	40
AL	36768	300	590	9434	0
AL	36769	1110	2400	37077	30
AL	36773	160	340	5077	0
AL	36775	310	620	12377	0
AL	36776	590	1220	16702	20
AL	36782	840	1770	38054	30
AL	36783	320	660	14607	0
AL	36784	3160	6660	152605	130
AL	36785	490	1030	17932	0
AL	36786	1270	2780	32202	50
AL	36790	110	200	5350	0
AL	36792	480	1030	21787	0
AL	36793	190	380	7895	0
AL	36801	9690	19270	472251	190
AL	36804	7960	16220	355467	200
AL	36830	16360	32060	1235135	230
AL	36832	8380	14680	342116	180
AL	36850	1050	2080	34117	30
AL	36852	1020	2040	36940	30
AL	36853	3430	6730	192741	80
AL	36854	6680	13180	266187	210
AL	36855	570	1070	22567	20
AL	36856	2730	6790	127883	90
AL	36858	200	390	7410	0
AL	36860	670	1290	20480	20
AL	36861	1320	2540	74301	50
AL	36862	2380	4770	86577	80
AL	36863	5020	10130	180498	170
AL	36866	1600	3130	64227	40
AL	36867	8560	16950	374716	240
AL	36869	8120	16850	276548	340
AL	36870	7360	16120	332893	240
AL	36871	400	850	18206	0
AL	36874	3440	7190	186308	100
AL	36875	1880	3840	86056	80
AL	36877	4930	10280	243768	140
AL	36879	980	2110	68429	0
AL	36904	1560	3230	80907	70
AL	36907	650	1330	21791	20
AL	36908	870	1950	49603	50
AL	36912	680	1340	22109	20
AL	36915	220	470	10425	0
AL	36916	230	470	9910	0
AL	36919	730	1630	32916	50
AL	36921	430	920	21501	30
AL	36922	240	460	7693	0
AL	36925	1210	2440	33293	50
AL	99999	31530	59570	2413887	870
AK	0	358650	666620	25157135	83420
AK	99501	8640	13370	630735	1910
AK	99502	12350	22250	1072061	2880
AK	99503	8650	14080	510230	2250
AK	99504	20100	36760	1175024	5030
AK	99505	2350	5610	93575	120
AK	99506	3010	6910	120092	170
AK	99507	19570	35070	1564350	4700
AK	99508	16660	30500	929996	4210
AK	99515	11410	21260	1054169	2530
AK	99516	9810	19360	1462279	1640
AK	99517	8670	14470	672216	1970
AK	99518	5380	9120	360571	1240
AK	99540	140	220	10640	30
AK	99556	1080	2020	61410	300
AK	99567	4290	8290	340927	980
AK	99568	130	230	7621	30
AK	99572	190	320	13967	50
AK	99573	440	760	20079	140
AK	99577	13350	26780	1179161	2760
AK	99586	230	430	11286	70
AK	99588	680	1260	38612	240
AK	99603	5480	9790	351655	1000
AK	99605	100	170	4181	30
AK	99610	1180	2120	73867	260
AK	99611	6620	12540	483476	1520
AK	99615	6470	12830	409005	1190
AK	99631	140	270	8475	30
AK	99639	590	1010	33652	140
AK	99645	13150	26050	979464	3430
AK	99654	14490	29790	1022046	3870
AK	99664	2310	3930	147087	590
AK	99669	7890	14660	604852	1740
AK	99672	1670	3130	113713	390
AK	99674	630	1240	37130	170
AK	99676	930	1590	53386	320
AK	99686	2130	3780	162099	540
AK	99688	1320	2420	80968	310
AK	99701	8620	14920	487600	2150
AK	99702	1420	3340	60723	100
AK	99703	3910	8510	142421	120
AK	99705	9430	18920	613310	2380
AK	99709	11210	19820	830398	2610
AK	99712	4550	8630	352279	1050
AK	99714	460	900	28319	120
AK	99737	1910	4040	123611	520
AK	99743	600	1100	42667	170
AK	99760	380	670	20890	130
AK	99780	790	1460	40392	270
AK	99801	12260	21730	868965	2790
AK	99824	1180	1930	87423	230
AK	99827	1300	2160	74437	320
AK	99833	1670	2940	98525	340
AK	99835	4570	7920	303947	640
AK	99901	6420	11320	411668	1400
AK	99999	75910	142080	4675503	19480
AZ	0	2857440	5842470	176370572	84460
AZ	85003	3740	6230	259404	70
AZ	85004	2660	3930	222648	40
AZ	85006	9940	20970	339219	220
AZ	85007	5310	10810	264436	130
AZ	85008	23850	50760	793104	520
AZ	85009	16450	43400	441552	360
AZ	85012	3690	5880	389322	70
AZ	85013	9930	16300	652362	200
AZ	85014	12110	20350	745699	310
AZ	85015	16290	35110	538440	430
AZ	85016	17600	30040	1641023	380
AZ	85017	14890	37350	383051	300
AZ	85018	17340	31390	2331490	310
AZ	85019	10630	26370	306793	230
AZ	85020	15970	28240	1134174	370
AZ	85021	16390	33700	995080	350
AZ	85022	23260	41320	1363931	580
AZ	85023	15520	29990	876506	400
AZ	85024	12190	22220	781230	300
AZ	85027	17840	33100	855449	500
AZ	85028	10120	18350	1006959	180
AZ	85029	19690	39630	771699	530
AZ	85031	11860	31510	314681	300
AZ	85032	31360	60150	1584927	760
AZ	85033	21880	56530	607116	550
AZ	85034	1990	4130	68102	40
AZ	85035	20060	51760	544877	500
AZ	85037	20190	47800	709884	550
AZ	85040	11670	27950	364655	290
AZ	85041	23890	56930	898507	650
AZ	85042	17880	38050	818912	500
AZ	85043	12700	31900	464041	400
AZ	85044	20170	35770	1576406	480
AZ	85045	3200	6870	387266	60
AZ	85048	16150	31730	1690283	390
AZ	85050	13660	27510	1371258	290
AZ	85051	18020	38330	611973	460
AZ	85053	13490	25790	580533	410
AZ	85054	3100	4810	291128	70
AZ	85083	7960	18090	792979	150
AZ	85085	10070	21350	916326	270
AZ	85086	16770	36140	1441312	420
AZ	85087	3790	7990	286063	80
AZ	85118	5090	8990	429032	130
AZ	85119	7980	15010	402690	240
AZ	85120	10410	19750	386501	330
AZ	85122	19490	42470	873218	560
AZ	85128	5180	12120	205029	120
AZ	85131	3900	9340	147807	160
AZ	85132	6890	14910	331508	180
AZ	85137	810	1720	38456	30
AZ	85138	13890	31810	760087	510
AZ	85139	6900	16170	328683	250
AZ	85140	13150	32630	723274	370
AZ	85142	23060	57090	1671628	630
AZ	85143	13480	31750	658185	460
AZ	85145	790	1950	41757	20
AZ	85172	800	2240	29111	20
AZ	85173	980	1990	38931	30
AZ	85192	480	1110	21752	0
AZ	85193	1220	2860	45257	40
AZ	85194	2300	4840	146875	40
AZ	85201	20370	40440	730306	520
AZ	85202	18790	33640	813285	490
AZ	85203	15070	32920	786229	310
AZ	85204	25580	56110	982165	640
AZ	85205	17420	33170	1022271	360
AZ	85206	15050	27330	752438	310
AZ	85207	19310	39600	1611803	460
AZ	85208	14160	28390	601363	380
AZ	85209	16650	32960	964434	350
AZ	85210	16280	33830	620480	410
AZ	85212	12820	30300	875526	310
AZ	85213	13930	29320	1109343	290
AZ	85215	7370	13470	567848	160
AZ	85224	22650	40680	1369713	570
AZ	85225	31940	64370	1626990	860
AZ	85226	18820	35590	1463073	440
AZ	85233	17600	35000	1226030	470
AZ	85234	21810	46960	1786036	470
AZ	85248	16020	30220	1627365	260
AZ	85249	17670	41180	1954213	340
AZ	85250	9170	14110	793777	190
AZ	85251	20180	30660	1781042	430
AZ	85253	7920	14960	3497911	80
AZ	85254	22810	43410	2414000	420
AZ	85255	19610	38260	4451010	330
AZ	85256	2170	4300	84403	30
AZ	85257	14990	23800	775017	330
AZ	85258	12250	20560	1589239	210
AZ	85259	10650	20040	1856005	190
AZ	85260	18900	32650	2176155	400
AZ	85262	5200	9730	1489438	80
AZ	85263	900	1550	127864	0
AZ	85264	670	1280	46655	0
AZ	85266	4820	9390	956621	60
AZ	85268	10800	19040	1176172	250
AZ	85281	21490	31280	968897	400
AZ	85282	24840	40080	1231101	560
AZ	85283	21950	38910	1178857	470
AZ	85284	9460	18180	1239095	150
AZ	85286	17190	38090	1680187	420
AZ	85295	18240	40940	1456924	390
AZ	85296	18970	41720	1447484	450
AZ	85297	12790	31690	1126421	300
AZ	85298	12950	31540	1407533	310
AZ	85301	23430	56670	649944	600
AZ	85302	17260	33750	684620	420
AZ	85303	13390	31380	500210	340
AZ	85304	12490	24500	654587	280
AZ	85305	5450	11140	291176	150
AZ	85306	11090	20880	525758	230
AZ	85307	4040	8680	174702	110
AZ	85308	30570	58290	2021600	770
AZ	85309	340	350	6433	0
AZ	85310	9250	18310	778208	170
AZ	85321	1300	2760	48805	20
AZ	85322	240	610	10941	0
AZ	85323	16370	38720	622219	440
AZ	85324	1120	1990	46054	40
AZ	85326	21680	51240	991921	740
AZ	85331	12650	25190	1429139	230
AZ	85333	200	480	6359	0
AZ	85335	13870	32070	509995	390
AZ	85337	980	2590	33462	30
AZ	85338	21140	46680	1256299	640
AZ	85339	17810	41320	896253	530
AZ	85340	12820	28510	1012833	310
AZ	85342	520	1010	28955	0
AZ	85344	3990	8250	158617	120
AZ	85345	25170	50450	1051188	720
AZ	85347	160	330	8590	0
AZ	85348	610	1270	23460	40
AZ	85350	7360	18730	231782	1560
AZ	85351	13320	19340	591613	210
AZ	85353	15590	38490	618296	490
AZ	85354	2300	5530	97059	100
AZ	85355	4690	11150	341087	130
AZ	85356	1240	2740	56761	80
AZ	85361	2460	5330	118343	60
AZ	85363	2700	5400	95024	70
AZ	85364	28090	63250	1271904	3090
AZ	85365	16930	38170	947354	1090
AZ	85367	6730	13020	367282	270
AZ	85373	8080	14640	444793	130
AZ	85374	17610	32980	1000483	340
AZ	85375	12930	20420	834819	110
AZ	85379	17530	40530	1010715	510
AZ	85381	12190	22710	753466	270
AZ	85382	19090	36480	1283255	350
AZ	85383	20530	46550	2116079	420
AZ	85387	4660	9150	321802	100
AZ	85388	10670	25160	620420	300
AZ	85390	2770	5180	152380	60
AZ	85392	16520	35120	852893	450
AZ	85395	12220	25580	1042334	240
AZ	85396	7170	16440	569374	170
AZ	85501	3270	6810	154481	90
AZ	85533	980	2190	52438	40
AZ	85534	860	1890	43161	40
AZ	85539	970	2050	41064	20
AZ	85540	1580	3850	112484	20
AZ	85541	8800	16590	461287	210
AZ	85542	930	2540	24759	60
AZ	85543	1250	3220	63177	40
AZ	85544	1130	2040	63133	20
AZ	85545	160	280	7087	0
AZ	85546	5830	13570	283710	200
AZ	85552	2360	5820	141341	50
AZ	85602	3880	7560	178305	100
AZ	85603	2670	4780	112486	50
AZ	85606	320	600	13565	0
AZ	85607	6330	15870	191373	280
AZ	85610	410	830	17553	0
AZ	85611	330	600	17880	0
AZ	85613	1490	4070	60538	20
AZ	85614	10310	17340	656510	130
AZ	85615	3890	7920	251389	90
AZ	85616	2070	4110	90491	80
AZ	85617	400	830	17233	0
AZ	85618	580	1220	22779	20
AZ	85621	8890	21340	286032	630
AZ	85622	3230	5250	229420	20
AZ	85623	1900	3620	116379	40
AZ	85624	520	950	26548	0
AZ	85625	730	1350	29724	0
AZ	85629	10780	26040	669752	250
AZ	85630	880	2000	45727	0
